Original text,Original Tag,Senti score,Senti words,Prediction
"my 7-year-old son and i are always looking for projects. this one is very colorful but it's not that easy to do. the product we got does not match the pictured photo. although it's initially fun, my son lost interest halfway through when we ran out of playdoh. we ran into some other problems as well.first, he started one piece the day before and did beautifully with that piece. he stopped and didn't continue, which was a mistake. although we capped the tubes, the playdoh became a bit drier and harder to handle the next day. it didn't stick as well to the cardboard frame.second, there was not enough playdoh in the tubes to finish the project. unfortunately the tubes are nonrefillable. had they been refillable, we could have used regular playdoh to finish the project. the company need to either make the tubes refillable or include more tubes of playdoh. children tend to put on too much in the beginning, so naturally the playdoh runs out faster. the company needs to realize that and include more tubes of playdoh to compensate for this and to ensure there's enough to cover the frame as pictured on the box.third, i could see an adult who was a cake decorator sailing through this project, because that is basically what this project is. instead of a cake to decorate, you have a cardboard frame. the frame does indicate where to put the different colors of playdoh, which theoretically makes it easy. however, it does require your child to have strong hands, especially when the playdoh is running low in the tube. even i struggled. it is recommended for ages 6 and up, but given the strength needed to operate the decorating gun, i feel this should be for children ages 9 and up. like i said before, a cake decorator would have no problem with this project, but for the average person like myself and my son, it's not that easy.our frame is still not done. we will have to figure out something else to finish it since the playdoh ran out.",Negative, 0.27272727272727276,colorful easy fun lost interest problems beautifully mistake well enough unfortunately faster enough easy strong struggled recommended strength like problem like still,Negative
"don't waste your time or money with this ill-conceived kit.  the idea is that you put together a picture &#34;frame&#34; made of cardboard, then decorate it with a special play-doh that hardens overnight.  i generally dislike toys that have finite useability, and this is no exception.  there isn't much play-doh, and once you use it, that's it.  guess what?  you then have to buy more!  you can't just refill the tubes to use them again, you have to buy, buy, buy.  also, and this is a pretty big point, the dough doesn't harden.  that's right, it doesn't harden well enough to do what it's supposed to do.  where does the fun end!  get some markers, some poster board, and your kids will have just as much fun as with this design-by-committee disaster.",Negative, 0.3571428571428571,waste time idea special dislike pretty harden right harden well enough fun fun disaster,Negative
"i guess i didn't really know what this product would be when i selected it, but i was sure disappointed when we opened it.  there are four tubes of ""deco pop"" (basically, play-doh in a tube) that are perhaps slightly larger than lipstick tubes.  when you remove the caps, each tube has a small opening.  there is a ""styler"" that looks vaguely like a hot glue gun.  you put the deco pop tube in the styler, push the trigger, which pushes the base of the deco pop tube, which in turn extrudes the colored dough.the dough is meant to be extruded onto the picture frame pieces included in the set (there are about five separate pieces).  there are color coded dotted lines, curly-cues, flowers and other designs that your child is supposed to follow, so there is zero creativity involved.  extruding the dough over all the lines will take your child about 15 minutes.  then they can assemble it into a picture frame.  the dough is supposed to harden on the cardboard picture frame for permanent use.  done.  fun is over (unless, of course, you want to spring for more deco pop tubes, but for the price of this 15 minutes of fun, it's not something i'd recommend).the only good thing for me is that i didn't spend my own money on this.  i recommend that you not spend yours either.",Negative, 0.18181818181818182,disappointed opening like hot creativity involved harden fun fun good recommend,Positive
my 6 year old played with this for about 15 minutes before the frame broke.  she also could not get the play doh out of the gun to draw without my help.  this wasn't a good experience.,Negative, 0.2,broke play help good experience,Positive
"i bought this for my kids because they are obsessed with play-doh. i thought that this might be a nice change from the usually rolling out the doh and using a cookie cutter. the gun was really easy to use. and that was probably the only good thing about it. the doh doesn't stick to the picture frame at all. no matter how careful you are, the designs just don't come out right. there isn't enough doh to complete the whole project. it doesn't dry overnight like it's supposed to. pieces were just falling off. i was just very disappointed with the whole thing.",Negative, 0.18181818181818182,nice change easy good right enough whole like falling disappointed whole,Positive
"i am a fan of modeling clay art projects for kids. i also like the way this ""doh"" product is applied to the canvas (a nifty squeeze gun applicator). however, the case is fairly useless beyond it's capacity as a girly portable plastic box. that leaves you with 4 cardboard ""canvases"" (two templates and two blank), the squeeze gun applicator and 3 ""doh"" cartridges.the really fun part of this toy is the gun and doh cartridges. the cartridges are small and not refillable so my kid went through them pretty quickly. the ""doh"" is not regular playdoh, but a softer version. it smears pretty easily and can turn into a royal mess on tables and upholstery so close supervision may be needed depending on your kids. if i was going to buy more of this toy, i would not do another kit, but just the gun and cartridges. that is where the fun isdohvinci deluxe stylerthanks for reading, i hope this review is helpful!",Negative, 0.13333333333333333,like nifty fairly useless beyond portable fun pretty softer pretty easily mess fun hope helpful,Positive
"why do i keep doing these things to myself?  why do i continue to snatch up things for the kids that i know are going to be complete disasters?  it&#8217;s like i&#8217;m a glutton for punishment.  the kids look at the box and rejoice because i bought them that thing they saw on tv and then five minutes later it&#8217;s all fallen apart, the living room is a mess and they are disappointed because it was nowhere near as cool as it was supposed to be.this was a mess.first, it&#8217;s a onetime shot.  you cannot restock your play-doh so once you squirt, there is no going back.  this was a problem almost immediately, since my three year old just started squirting without letting me explain how to work this thing.  then, the problem with actually having it stick to the canvas (which is just a cardboard sheet, which is rather small) arose.  it just doesn&#8217;t work very well, and then it dries and falls off.  the ability to make something cool just does not exist with this.  it is basically a messy diversion for ten minutes while your kids find squeezing play-doh out of a gun to be cool and then give up and walk away.  a waste of time and money and certainly one of the dumber things that play-doh has come up with.cheap, tacky and pointless.",Negative, 0.47619047619047616,like rejoice fallen living mess disappointed cool problem work problem work well falls cool messy cool give waste time tacky pointless,Negative
"godzilla is based on the new look godzilla in the film as opposed to the classic godzilla.  while i enjoyed the film i was lukewarm on the new design, particularly the smallish head and shorter snout.  the neca sculpt is right on the money however.  the figure stands 6&#8221; to 7&#8221; tall although it checks in at around 12&#8221; from the top of his head to the tip of his tail.  with 25 points of articulation the figure is remarkably poseable.  however the paint job is disappointing.  godzilla is black&#8230;very black.  black on black.  the only break in the murky paint scheme is his yellow eyes, red tongue and white teeth.  oh and his nails are black&#8230;but a blacker black!  honestly what a shame.  it&#8217;s almost like they had a surplus of black paint and wanted to use it up.  how about some tinting or shading?  or maybe some whitish/blue tint to his spines as if he is getting ready to use his atomic breath?  and speaking of his teeth they fall short as well.  the teeth are all the same length&#8230;short.  he has no extend incisors as he should have.  the packaging is nice but overall this godzilla is a monster disappointment.",Negative, 0.44999999999999996,new classic enjoyed lukewarm new smallish right top remarkably disappointing break murky shame like ready fall well nice monster disappointment,Negative
"my 13 year old took the sky gliderz outside the moment after he freed it from it's box. he put the glider into the sling, pulled it back and let it fly....straight into a tree.okay, try two! pulled it back, aimed lower, let it fly and...onto the roof.so within 2 minutes he'd managed to get both gliderz stuck in very high places. we got them loose when his dad came home, tried again and...lost them again!the gliderz do not fly the way that they should. he got one cool loop-de-loop out of one once but other than that, nada. it's definitely not a product we can recommend.",Negative, 0.4,freed stuck loose cool recommend,Negative
"really disappointed. sorry have to say, probably the most boring game i've ever played. it's basically pointless, doesn't develop much of any skills. i think it'd be better off to play the rush hour which is a much better game!",Negative, 0.5714285714285714,disappointed sorry boring pointless better play better,Negative
"spending much of my youth in oregon, my grandparents felt that it was important that i be active in school , sports and various other community events when opportunity arose. my grandfather was an eagle scout thanks to a real bald eagle foot a native american friend of the family gave to him for his birthday. truth be told, he wasn't really a ""native american"" per say, but was really a die hard washington d.c. redskins fan. he was one of the fairest redheads i'd ever seen. he had access to all sorts of wildlife at the archery shop he ran.with no scouting programs available in the area, grandfather insisted that i be involved in similar activities to help my development. as a substitution, a popular camping program to teach life skills was run in our area by nambla.a community outreach program of grown men, many of whom just got out of prison, actively engaged in the nurturing relationship of young boys.  it was the perfect program for boys in search of good mentorship when they had no father figures. in my case, my grandfather due to his frail condition, camping would have been far too much of a hardship on him. besides, he didn't want to miss back to back episodes of `barney miller'. something he could not do with zero reception up in the mountains.  it was 'his' show that  he would watch regardless of where he was.  one time, grandma's bowels were acting up and she needed to be rushed to the hospital. on the way to the hospital it hit seven o'clock. after frantically driving around downtown in the rain, he pulled the car over and watched the show from the other side of the window of a closed television repair shop.grandma didn't make it that night, but i tend to believe it that it was simply her time to go.on one of the nambla campouts, i became lost in the midnight game of pajama hide and seek. the purpose was to pair the ""fathers"" up with the boys for the weekend.  it was one of the more popular games since it involved pajamas, but this particular night simply did not go well. in fact, because the boys outnumbered the ""fathers"" no one came looking for me that night. as a result, i spent the night lost in the woods and fell asleep by a fallen tree.sometimes, i would hear footsteps or hear rapid heavy breathing, but i did could not see anything. i thought that it was a predator watching over me since they would not harm kids.when i woke up in the morning, it turned out i was only about thirty feet from the camp site, but i simply did consider going in that direction.  i thought the bright lights were for the dog kennel that was along the fence that surrounded our campsite. those dogs scared me and i did not want to be near them.what did happen was that the good men of nambla did in fact go looking for me that night, but several of them became lost themselves and ended up sleeping in the woods or their vans. to think of the sacrifices they made on my behalf really brought me comfort that morning.i ended up going home that day ""father(less)"" but never forgetting the valuable lesson i learned from being lost.  sometimes, it is best to not give up so easily when it gets dark.this figure serves as a reminder of that frightful night spent alone in the woods while a mysterious predator watched over me.",Negative, 0.3272727272727273,youth important active community opportunity real friend family truth die hard available involved help popular teach life community many prison engaged nurturing young perfect good frail hardship miss time frantically time goon lost purpose popular involved well lost fell fallen rapid harm direction bright scared good lost comfort valuable lost best give easily frightful mysterious,Negative
"to be honest, i was on the fence about this predator figure. taking into account, it is simply another repaint and branded as something near doctrinally correct based off of the mega online blockbuster film ""batman:dead end"" by paul w.s. anderson. i just was not sure i needed a yellow predator figure in my collection.amazon prime often lives above and beyond their great name when i get packages in one day instead of two (i can't wait for the amazon drones to deliver within ...wait for it...hours!!!) as was the case here, my figure arrived the following day upon ordering it. it was there while i was sitting on the couch on my front yporch drinking sugar-free lemonade when the fedex man dejuan arrived. he is good at his job, but on a personal level i'm not really keen on him since he's run over several of my coon dogs with his truck. since i run little hunting ""tours"" for boring office guys who live in the north, those dogs are part of my livelihood. it is hard to tell if he is in a hurry, or just tired of stopping at my place one to two times a day. my dogs seems to like him though, often times, they will hug his bare leg or chase his truck as he drives off.then, it hit me.the reason why i was on the fence about it is because of the name ""wasp"" the predator figure has.when i was growing up, my parents were very strict religious people. my mom was dutifully supportive of my dad's freelance revival tours he did. preaching the good word from the same book. all in all, he made really good money at it. even his motivational cassette tape series turned quite a profit.as ""great"" as he was on stage, tape or to other people, he was extremely hard on us kids. he was very firm, but also very fair. his punishments were always proportionately based on the the offense and we could choose which punishment we would receive. no one ever thought to question his punishments since it was a higher will that utilized him as an instrument for righteousness.one sunday during an after church family picnic where we would gather around on the ground and dad would eat all the food we prepared for him and read for hours from the good book to us. i started get restless and began pestering one of my sisters. dad would have none of that once he saw i had interrupted his sermon. he slammed the book shut, got up, marched straight over to me, grabbed my arm and was about to give me a spanking in right front of my family.then, one of sisters spoke up and told him it was still sunday.bless her heart.he never gave out spankings on sunday. instead, he grabbed me by the ear and marched me over to a nearby log. there he made me abruptly sit down to think about my sinful ways until he told me i could get up.no exceptions.what i did not see (i'm not sure if he did or not) was a yellow jacket was on the spot where i was forcefully sat down. i really wanted to say something, but ""no exceptions"" meant just that.no exceptions.i do not recall how long i was on the log for, could of been hours since the good book is a pretty big book, but i do remember coming to in the emergency room surrounded by most of my family. it turned out, i had a bad reaction to the yellow jacket sting on my bottom.a memory i tried to forget, but once seeing this figure in hand brought it all back.one star.",Negative, 0.3076923076923077,honest correct blockbuster beyond great drones good keen boring live hard tired like hug reason strict supportive revival good good motivational great hard fair family food good restless give right still abruptly sinful good pretty emergency family bad sting,Negative
i ordered this mini fig for my son for easter. he opened it this morning and the pancho was missing.  i paid $7.20 for this guy and am pretty disappointed that not all the prices were there,Negative, 0.5,pretty disappointed,Negative
"&#34;electronic&#34; means it has a single light on the chest. no voices, no sounds. just the light.yes the pieces are interchangeable with other marvel figures but mixing the parts doesn't make the kids play with it much more.after 1 hour the novelty of this toy completely wore off and it now sits in many pieces in the bottom of a drawer.a better value would be to get more smaller marvel figures for the same money.if you found this review helpful please give it a thumbs up below. thanks!",Negative, 0,light marvel play novelty many better value marvel helpful please give,Positive
"my kids love action figures and they adore the marvel movies, but they are completely indifferent to this toy. i thought they'd enjoy switching out the arms and playing pretend with it, but they looked at it once and left it lay on the floor. they haven't picked it up since. my boys are ages 6 and 10.",Negative, 0.2857142857142857,love action adore marvel indifferent enjoy pretend,Negative
"these alleged &#8220;learning activities&#8221; are framed within three alleged &#8220;mysteries&#8221; in which the player has to complete the activities in order to earn &#8220;clues&#8221;.  the first mystery involves missing shoes, the second involves missing rhinestone items and i haven&#8217;t worked up the gumption to plow through the third mystery.  each mystery has ten sections, and at the completion of all sections the &#8220;clues&#8221; are jigsaw pieces which assemble to show the culprit.  before, after and in between each section you are subjected to inane babble between barbie and one of her perfect-looking friends.the &#8220;learning activities&#8221; are, at best, only tangentially related to the &#8220;mystery&#8221;.  in one activity you have to find the &#8220;hidden&#8221; items.  except that the items are sitting in plain view.  there are several &#8220;hidden items&#8221;, but you are only instructed to find three.  afterwards, you have to sort the names of the items, along with similar words, into columns.  for instance, if the hidden items were a star, a cup and a crown, you might have to sort those three words, along with pup, gown, car, down, bar and sup into matching columns.another activity comes when barbie goes to interview someone.  the activity involves picking out what the character is &#8220;thinking&#8221;.  there are three objects floating in mid-air and you may be instructed to pick one that starts with the &#8220;h&#8221; sound, for instance.  i often found it difficult to adequately hear the letter sound as pronounced by the game, but it&#8217;s still not terribly hard as two of the three objects start with the correct letter sound.other activities involve inserting the proper letters to complete the given words and other sorts of spelling activities (one such activity involves printing t-shirts &#8211; go figure).  the game comes loaded with many words already, and you can also upload your child&#8217;s spelling words.  as with all of the activities, the difficulty of the words increases or decreases based on your child&#8217;s performance.in addition to the mysteries, there is also a &#8220;map&#8221; which will allow you to travel around and do other activities, but they are all very similar to the ones listed above.my kids and i all found these activities very repetitive and boring after a few rounds.  it was a chore to complete enough activities to get the &#8220;clues&#8221; to solve the mysteries.  and the solution is not exactly earth-shaking when it comes.  if you&#8217;ve paid even passing attention to barbie and her friends&#8217; inane chatter, you&#8217;ve long since figured it out.furthermore, these activities really aren&#8217;t &#8220;educational&#8221; &#8211; that&#8217;s just a ploy for companies to get dedicated parents to spend lots of hard-earned money to &#8220;enrich&#8221; their children&#8217;s education.  the young and developing brain is not hard-wired to acquire literacy through these drill-and-repeat sorts of exercises, especially through electronic media.  if you really want to develop your child&#8217;s literacy, blocks, legos, play-doh, boardgames and other sorts of toys are far better for developing pre-literacy skills.  and, of course, the best way for children to actually learn to read is to read actual books with a parent or other fluent reader.  if you want your child to be a good reader, let them learn to love reading so they&#8217;ll do a lot of it.",Negative, 0.42500000000000004,order mystery worked gumption mystery mystery culprit subjected inane babble best difficult still terribly hard start correct involve proper many difficulty addition allow repetitive boring chore enough inane chatter ploy dedicated education young better best learn fluent good learn love,Negative
"so, i just reviewed the picture game dixit.  that one is far better than this one.  where dixit took the familiar apples to apples format and modified it to fit the purpose of the game, this variation of apples to apples doesn&#8217;t do enough to make the concept fit correctly, and the pure randomness of the pictures provided make for an awkward game.  we really wanted to introduce this to our daughters, who are too young to play apples to apples with us but are always asking to be included.  this was too bizarre for them to comprehend.  the cards are so strange that finding ways to make them fit the emotions on the green cards is very difficult for younger ones.  while apples to apples itself thrives on some of the randomness, children tend to take things literally and my daughters were getting extremely frustrated trying to find cards that fit the words they were given.  it sounds like a great concept, but the execution here is lackluster.",Negative, 0.3157894736842105,better fit purpose enough fit correctly pure awkward young play bizarre strange fit difficult frustrated fit like great lackluster,Negative
"i thought that i would buy this again for my daughter since she had a ton of rubber bands, when this was sent i only got 1 case this time why?!?! not buying from again",Negative, 0,time,Positive
"for starters i would like to mention this is not my fist experience with k'nex products. in the past i have ordered a couple mario kart sets for my kid, as well as some kiss and the beatles yellow submarine figurine sets. my experience with the brand had been great so as a fan of family guy, i did not hesitate to order this. i would love to tell you the experience was great but i am afraid i can't, this set was so frustrating that my kid simply did not care about finishing it, nor did i.the first problem i encountered was the instructions, we have plenty of lego sets (which my kid loves) and we have never struggled with the instructions like we did with this one. the manual tries to differentiate the pieces you need to add from the ones you already added by using red and gray colors; the problem is, there are gray pieces, so there was a point in which we skipped two pieces because of this. as you can see, the top of the car is a red cardboard, as odd as that was for me, i expected some kind of hard material that could make this more durable and was disappointed when i found the cover to be a very flimsy piece of cardboard.if this was not enough, the design has very notorious structural flaws, when we were putting it together i kept wondering how this would stand together once completed, the answer? it simply doesn't. when the time came to add the cover to the top of the car, it broke into pieces. at that point, my kid had lost any interest and left me there with a broken set. stubborn as i am, i kept trying to figure out a way to put it together, i was finally able to, only for it to break again.so, save your money and get a lego set instead; true, they do not have the family guy license, but even as a collector this set is not worth it. for some reason, k'nex included a peter griffin figure wearing a gray suit instead of his characteristic green pants and white shirt&#8230; wait, k'nex does have that figure, in a sold-separately set&#8230; i see what they did there...",Negative, 0.37777777777777766,like fist experience well kiss experience great family order love experience great afraid frustrating care problem loves struggled like add problem top odd kind hard durable disappointed flimsy enough notorious flaws time add top broke lost interest broken stubborn able break save family worth reason,Negative
"i'm a fan of k'nex and appreciate the original designs they've come up with using their beam and joint pieces, especially their large roller coasters. this model attempts something more lego-like and the result is perpetual frustration for kids (and any adults swept into the effort). the directions for the build don't have the clarity of lego directions, and the design itself has a large number of weak joints that result in frequent structural collapse. adding to the problem is the fact that the bricks don't have the same gripping power as lego bricks. i also don't like the use of cardboard for the roof of the car. i find it humorous that the peter figure comes fully assembled when there are directions for assembling him, and placing him in the car requires that he be taken apart anyway. i don't quite understand the intended audience for the toy. i'm not a prude and i introduce above-age material to my kids all the time, but i can't imagine a toy company seriously thinking that family guy is appropriately paired with 8 year olds. our set was missing one piece, but we had it in our supply of k'nex so that was a non-issue. in the end, i would only recommend this toy to a die-hard fan of family guy, someone who is happy displaying the car and not playing with it.",Negative, 0.25,appreciate original frustration clarity weak collapse problem power like humorous understand time family recommend family happy,Negative
