Text,Label,Predicted Senti,Predicted Score
"a beautiful book, i love the simplicity of ahmed el-aidy, who is strong and has more than one masterpiece poem, such as: thanks god. jerk off to innocent desire. to check me. orphan paragraph. small cut. the last one loves you. why do i like it so much? of course it is not possible for this masterpiece. i don&#39;t know when i stayed like this. not possible. he does not love girls. other than those who love pain. my chest is open to air. but i ... locked. what are you doing doctor? in what blindness hope. even what i understood via it. complementary. a railway that can be reposted. do not forget. i have to run the tears. with cheap laughter. and always shy ... i don&#39;t know when i stayed like this. not possible. i missed you, i found myself pocketing your name and pressing.
",Positive,Positive,0.4087296
"most people judge books based on the cover, which is common. as for others like me, i judge him from the beginning of his pages; the writing style is what makes me keep reading .. in this novel specifically, i read the first of its pages and felt like a continuation of another book, as the writer started to tell the story as if the reader knows what he is talking about .. i stopped reading i put the book aside, i was very surprised when i got this high evaluation? it is true that people&#39;s tastes differ, but everyone who asks and reads from him finds him praising him and saying, continue reading, they are wonderful. i didn&#39;t give them any attention, and i read several other books, but destiny wanted me to think about it, and i found a colleague of mine who encouraged me to read it with me .. i started and deepened, and i signed this book from those books that you find yourself thinking about and wondering about, i felt that i was actually with them , i felt the sadness that they feel, with joy, of resentment, and even of the taste of the pies they eat .. i lived with them their joy and their sorrow, and what more sadness. the novel begins with the grandfather and ends with the grandson of the granddaughter. you can imagine how many of the situations i lived with them ... i created radwa ashour in them, and i will definitely read everything i wrote, god willing.
",Positive,Positive,0.1380065
"we speak when the gates of peace are closed to us before our thoughts, and when we are unable to reach the state of stillness in the unity of our hearts, we turn to seize our lips, because the sound distracts us and entertains us, and in many of our words our thoughts almost explode from pain and gloom, because thought is a bird from space birds, which can simplify his wings are in the cage of words, but he cannot fly.
",Positive,Positive,0.37016448
"wonderful. the location is excellent, and the breakfast buffet is great. the internet was weak
",Positive,Positive,0.002752339
"new frontiers of historical information river
",Positive,Positive,0.019176967
"a beautiful novel, much more beautiful than the series ... the beginnings of ahmed murad
",Positive,Positive,0.036784578
"the comment of my older brother, dr. mohamed ibrahim, on the book. : //. . / / .... a very important book, and i recommend reading it strongly. especially for those who count themselves among the youth of the islamic trend.
",Positive,Positive,0.018181182
"w barcelona offers residential services i stayed at the w barcelona from day to day, in a great room. i arrived early and registered my name at the hotel. the registration process is always busy, and there is a big and happy surprise but with mixed feelings. sometimes your early arrival leads you to a room that no one else wants. my share of room number, was on the fifth floor. the beach was opposite my room, but a third of the view was obstructing me due to the other prominent rooms at the front. this only affects the first floors, so be careful, as each room ends with a number that has the same problem. these rooms are also adjacent to the storage and laundry rooms, among others. i loved the design of the room, the shared desk with the bed is very soft, what a really good bed spoil me, as well as the spacious space. the shower space can accommodate five people, not joking, so let’s consider, for example, that you took your boyfriend to have sex for the first time. you will inevitably discover the peculiarities of their bathroom laughing out loud. i did not consume anything from the room fridge, as there is a big store and restaurants at the beginning of the beach, and this is a pleasant walk away. prices for the pool area and services are very moderate. on sunday, on the top floor, you do not stop by the pool, the staff working in this area did not check the area even once, so i did not receive any services. another day, i learned that the top floor was open, and i went up. i learned that it was closed when i asked for a service. then i learned that it is not closed, but there is no service. i was just meters away from the main bar. the position of the workers in this area is as if they say, i know, man, that we are very calm. we do a favor for you here. however, i left the area and did not return to it for the duration of my stay. hint i use the signs; i can&#39;t read minds, but if the staff is so lazy that they can&#39;t do the services upstairs, there&#39;s something wrong. at the nightclub, i was disappointed again because of the lack of communication, and the lack of signs or information about the region&#39;s protocols. i saw every two sitting on your sofas, so i had to leave completely. if there were signs, there would be no embarrassment for the people. after eleven o&#39;clock in the evening this region becomes private and the cost of staying in euros is where the excellent service provided by the workers once the place is opened. it seems that those who provide alcoholic beverages are good, but when they are busy like this then there will be speed, yet my drink was moderate. wave restaurant i had a very good meal, and a great attentive service made me happy. managers always work hard, but sometimes regret can be an easy backup. guest services what about the low seating for guests? sitting in this drop feels as if the seat is the one sitting on you, the opposite must be done, according to the known power arrangement. and we ended up changing rooms, on the number floor, room number, which is the same type of room as it overlooks a port, after i mentioned that the wonderful rooms are supposed to have nothing to obscure seeing from them. note that the warm rooms are located on floors from to; these rooms seem to be great except for rooms from to; all overlook the ocean and the harbor. as for all the large rooms and others overlooking the beach and the city location i did not find the location far from the old neighborhoods, so you can walk on foot, or take the bus number / which stops on the main road near the hotel entrance, and the price of the bus ticket. euros, and the taxi may cost you approximately euros. in general, i would probably come here again, as the location fits in with me, as is the layout of the room, the bathroom was excellent and the two rooms were reasonably quiet. it was a shame there was the low pool service as well as what is known as nerve cooling. as the title shows, this place caters to a specific demographic as it focuses on it well, but i am not a fashion fan, but all i want is comfort and kindness. it is a service.
",Positive,Positive,0.27644065
"weird this creative ability that transports you between the lives of five people in a period of one year in several times the country goes through on page
",Positive,Positive,0.0770187
"ahmed abdul majeed. for the second time, it brings psychological peace to his followers
",Positive,Positive,0.0019065792
"an important book i recommend reading it. but i think the name does not apply to the topic .... the book in general analyzes the islamic-islamic dispute from the point of view of sociology ... it is a new reading ... i very much enjoyed it ... his analysis of the temptation during the era of uthman ... and ali’s disorder and muawiyah and the dispute shi’ite sunni, to say the least, is wonderful. his analysis of the revolutions and how success is the grave of the revolution .. and that a small organized group can defeat a large, dispersed group ..... and i conclude with a quote from the book ... the truth without strength supports it, there is no good in it
",Positive,Positive,0.0473602
"excellent. the location is very excellent, the price is reasonable and it has breakfast and internet. the internet is bad
",Positive,Positive,0.021670038
"my heart hurts ..... this novel exhausted me. feeling of complete helplessness, i felt after a word in its last pages. how do i describe all this painful sadness .. how do i revive my words after she died with her people one by one. if death is the title of the novel..the language has a life..the language is rich and rich and empowered..what attracts you to its world, praising in its vastness, enjoying it with the limit of joy and the limit of love and pain. ayman al-atoum .. my full respect and appreciation..and you are creative
",Positive,Positive,0.22871105
"the hotel deserves ... roqan .... location ... good handling ... cleanliness ... close to mall of the emirates ...
",Positive,Positive,0.0045634466
"fine is me
",Positive,Positive,0.26585507
"a simple and brief explanation of many religions. my favorite writer, anis mansour .... and i will sail in anis&#39; world
",Positive,Positive,0.00843281
"i was one of the lucky ones to see a draft of that novel. so my testimony will be hurt. regardless of my witness to the labor period, the author is one of the closest to my heart on a personal level. so i will try to summarize. adoration is the next novel for a peace hymn. if you like the hymn, you will love. abdul majeed has developed a lot of his style of narration and has started to move from event to smooth event. in love, he entered into the convolutions of the soul more, so he made clear the difference between the human qualities that are made from a person who does not rise to the quality of angels and does not descend to the qualities of demons. in love you will understand more about the igo .. the igo that prevents us from rising and without ego will give us wings to fly in the sky. he also dealt with traffickers, the greatest of souls, and most of them. i liked his new narration. connecting the past to the present. ahmed has been united by his hero, so he writes this time with his spirit. i will not speak more and i will let you read it voraciously. buy it, it deserves
",Positive,Positive,0.35556012
"i know for sure that i have never treated a human being as petty or despicable, except that it is a punishment for him on bad manners. the telly of the akkad character.
",Positive,Negative,0.9142145
"simply .. diwan is the most beautiful ami diwan i have read in my life. from the first gift to the last poem .. i have no need but i like it. the valley is an artifact written, philosopher, and actually worn:
",Positive,Positive,0.3147928
"a wonderful report explaining the extent of the military penetration and their influence on the rule in egypt. his conclusion is remarkable that the second republic will not be established until after the state of officers is completely disintegrated from the egyptian state. i wish it was a berth reading:
",Positive,Positive,0.009457798
"worth a visit. the availability of beds, cleanliness, and a complete and sufficient kitchen in the lobby. spacious rooms, lounge, washbasin, stove, microwave and fridge. the mother of a room and a hall itself has two rooms and a hall, but the room will share a sitting session and in the back four beds and one bathroom, may god honor you.
",Positive,Positive,0.17632955
"some people may think that it is easy to add a new part to a series of novels that have its world, characters and events .... but to find this addition with such mastery and interdependence, you are facing a phenomenon that must stop before it ... hussam nader .. this name that you must everyone remembers it well, after a few years it will be of great importance in the world of fantasy ... good luck
",Positive,Positive,0.08833012
"excellent taste and excellent price in mecca and medina. everything is beautiful and affordable and they do not eat. everything is available. the bake is one of the most famous restaurants in the city. eating is distinctive taste and excellent price.
",Positive,Positive,0.0035545705
"exceptional. the place is suitable.
",Positive,Positive,2.2256188e-06
"the important thing is that words start, that people live in the minds and minds of people. he was not able to tyrant over the eras of history to imprison words because they, like spirits, roam the horizons ... do not be deleted, tortured, or buried in the dust .. her life is eternal:. it remains a spin and a role .... blessed are the strangers ... blessed are the martyrs ... may god have mercy on you, successor to him, messenger of god, may god bless him and grant him peace
",Positive,Positive,0.16186145
"excellent hotel and perfect place to stay. quiet location cleanliness. delay bringing the car when exiting
",Positive,Positive,0.006037759
"excellent location the moroccan receptionist was nice to us. cleanliness and location.
",Positive,Positive,0.017829563
"location, comfort and close to everything. i recommend living in it. everything is ok
",Positive,Positive,0.06392703
"the writer has a literary style and great depictions that are beyond description of her beauty .. if you search for the beauty of the rhetorical and literary style, you will find a lot .. but the content of most stories did not interest me because most of them are repetitive, but the writer&#39;s thinking is very sophisticated and sublime .. in general the writer is a method that makes the heart fail for its beauty. the stories ..
",Positive,Positive,0.47766465
"nice place . comfort and world-class hotel. there are no channels
",Positive,Positive,0.024058305
"the style is great, the end is no better than that. you feel that the book guides you in the direction of yourself, to the extent that you feel in every situation that you put yourself in the place of heroes and start a dialogue with yourself, what will be the reaction. with the beauty of the politics and political positions in the novel in a way that does not affect the documents, it is worthy of
",Positive,Negative,0.58413976
"the first novel that i read while i was about twelve years old ... if i could imitate this writing as a decoration or something more valuable, i would have done .... a novel that i would not put aside before i would have cried with the heroes and raised your laughter with them ... and depressed their affliction ... ... you only wish me the heroes ...
",Positive,Positive,0.32467976
"rest and rest. everything was at the desired level. everyone is better
",Positive,Negative,0.934155
"wonderful. i liked in the hotel the screen of the reception staff and their keenness on the comfort of the guest, especially mentioning the alternate director mohammed al-wasli, who made a great effort in providing the appropriate room, which guarantees us a comfortable stay. i did not like having to change the room more than once due to lack of hygiene and other reasons, but the responsible employee made a thankful effort to solve this problem
",Positive,Positive,0.055465933
"i enjoyed it very much. i liked the drawing of the people and the flow of the unfamiliar narration, and if some parts of it were prolonged and others were repeated
",Positive,Positive,0.044547513
"a hearty meal of feelings ... a wonderful and very deep novel ... and the musical analogues are beyond description
",Positive,Positive,0.004239785
"excellent. . the internet is very slow
",Positive,Positive,0.001659914
"beautiful . by god, it is one of the best motels i have ever stayed in dubai. there is no
",Positive,Positive,0.2259159
"written by french writer bernardine saint-pierre. and translated by mustafa lutfi al-manfalouti. al-manfalouti added, with his pen, a stream of creative descriptions and linguistic wealth ... a beautiful novel from the classics of literature.
",Positive,Positive,0.38770473
"wonderful of the most wonderful novels i have read ... masterpiece
",Positive,Positive,3.3093472e-06
"i really liked the novel, with deep talk and hours of sweet talk, but in general the idea of the book is sweet with a touch of terror.
",Positive,Positive,0.30857366
"excellent among the hotels that i recently stayed in. it is from the hilton family and among the hotels that respect the permanent members of the hilton. this hotel overlooks the nile corniche and its location is excellent. the hotel is amazing in terms of living and living in it and the large rooms. i need a system and cleanliness, and those working in it meet you with welcome, affection, and a healthier love for those who have not visited this hotel to visit immediately and do not regret
",Positive,Positive,0.009376163
"when you finish reading this book, you know that those around you are not stupid:
",Positive,Negative,0.9731275
"delicious and entertaining
",Positive,Positive,0.0003824583
"ahmed murad loves the imagination of detective stories, a novel with a near-realistic nature, and the narration of content is great. many of the events narrated by the narrator are wonderful, reflecting societal, authoritarian, and sometimes sexual futility in his thinking, which is based on reality ... i recommend the novel.
",Positive,Positive,0.42155525
"good one. the place is very good, close to mall of the emirates, restaurants and metro, and the cleanliness is excellent. they take a deposit of one dirham and return them when leaving the hotel
",Positive,Positive,0.011564771
"certainly a useful book, although i am not enthusiastic about describing the actions of the prophet as being caused by genius but rather something greater than this, it is the revelation of god and his success, by placing the word genius that is placed upon him be peace and blessings with the rest of the geniuses and thinkers ... with that book is interesting and useful
",Positive,Positive,0.14559214
"one of the most interesting novels that i liked, attracted, and thought called for reflection. although most of its events are expected, but the end is strange. words that do not fit in a book and an intellectual novel are not sexual and market suggestions that will convey the reality in its entirety with my respect to the writer:
",Positive,Negative,0.92168033
"good. comfort and cleanliness. nothing
",Positive,Positive,0.014450433
"we had a lot of fun i visited in a month / and i will visit again this month / it is a first-class family place i do not advise young people to visit where calm and tranquility the rooms are wonderful and clean the pool is small but tasty and you play with your children as for food, the dinner meal is excellent and breakfast is also friendly the hospitality team has met my request for a cot without any additional cost. as for the faults, it is the beach. there is no living room for the residents, in addition to the chalets and rooms that are located in a high place that may be a little tired for the elderly.
",Positive,Positive,0.036697313
"beautiful and comfortable hotel. the location, services and staff are trying to listen to you and help you. nothing short
",Positive,Negative,0.5696426
"good. breakfast was heil.
",Positive,Positive,0.008836448
"very cheap suitable for the modest secret and for the big family. the price is attractive. its location is far from the center of dubai and jumeirah and in the area of indian workers
",Positive,Positive,0.446767
"south ambassador. great hotel, i would advise them to be comfortable, relaxed and beautifully treated.
",Positive,Positive,0.009180439
"i read it fun .. i didn&#39;t want to get rid
",Positive,Positive,0.013288354
"i did not know that weddings are safe, weddings are safe, and who is safe in palestine? their weddings are far, far away ... i read it during the gaza war, i felt that i was in the streets, and had it not been for the truce there yesterday, i would have cried on paper.
",Positive,Positive,0.09509043
"excellent. the ruins of khalifa tower. you enter the hotel an hour and sit down looking at the lobby, the text of the hour, which led to the exit rooms
",Positive,Positive,0.020860638
"a race for good and evil, and as usual, good triumphs, but evil does not end. this end is preferable. the narration was one of the best things i read to the extent that i was crying for what happened to her and emad and sadness of walid .. friends are more than a need for her love in all narrations .. waiting for the new from essam youssef and remaining in same level
",Positive,Positive,0.051214308
"antidepressant
",Positive,Negative,0.5595341
"wonderful book, i like the writer and his adherence to his views.
",Positive,Positive,0.008831838
"very beautiful . tranquility and decoration and workers in order to magnificence. there is no
",Positive,Positive,0.0004304582
"the movie
",Positive,Negative,0.99440455
"the best relaxation and the best organization. a very beautiful hotel worth visiting and also an excellent location near the train station and all restaurants are available.
",Positive,Positive,0.008496166
"the rubaiyat of khayyam is a philosophical poem with distinction in which faith is mixed with skepticism, pessimism with optimism, confusion with certainty, existence with nothing. omar khayyam invites them to enjoy life with all its pleasures, and what wine he praises in this work is only a symbol of this material life. khayyam believes that our earthly life is much better than our eschatological life, adopting the nihilistic view of life, this life that has no meaning in all its tragedies and the misery of people in it and also what our emergency presence is in .. in this poem also there is an internal struggle between the life of the faithful tents who he wants to repent of his sins and the age of khayyam, who doubts and revolts on religious concepts of fate, resurrection, and lastlife .. indeed, there is still a discussion about the ratio of these khmer squads to omar khayyam who was known for his morals and knowledge, but this does not prevent classification these quartets as a philosophical work explores the depths of the human psyche in their crises of existence of this world alamvhom and ruthless.
",Positive,Positive,0.102997094
"this is a charade, as dr. mustafa mahmoud said, it is inspired by what sheikh al-akbar muhyiddin bin arabi wrote about the opposite, meaning the conflict of contradictions within the human soul, when the soul wants something and wishes its opposite. and the text revolves, as the doctor points out about the apparent name, and he is the ruler and predominant of the people of the earth. then the inner name, which is the ruler and predominant among the people of the subcontractor, who loves isolation, being alone, meditating and worshiping .. the conflict actually revolves between two personalities that represent controversy and conflict between the people of al-zahir and the people of the subcontinent, or the worldly soul searching for pleasures and satisfying instincts. , and the blame soul searching for serenity and salvation .. the events of the representation that have been invalidated by a sufi woman and her hero are represented by a man representing a outward personality, then a dialogue takes place between them, after which he ends up asking her to follow her, so she tells him that he will not be able to patience with her, and the taking continues the response to the speech in the context of an accelerated fiasco represents an opposing viewpoint ... just as it is thelaya includes lyrical lyric connections, through which the heroine recites poetic passages from ibn arabi&#39;s poetry in a way that is appropriate to the context of the latest .. the hero’s ideas soon begin to collapse and the woman answers, saying: you trained my brain and thwarted my mind .. from you to god .. from you allah. then the events go on to talk about the injustice and negativity of the nation, the book includes a summary for this is: muslims smoke hookahs in cafes and wait for god to be loved for them. and it is a shame .. and a fallacy even in the matter of their religion. after that, the book moves on to talk about the fundamentalist groups that have distorted the image of islam by taking the path of violence. the doctor says: the islamic groups have started from completely wrong beginnings and are still insisting on them .. which is an attempt to jump on power and usurp the rule .. and i thought that jihad begins from jihad with the other and conflict with the other .. i forgot that the jihad actually begins from the jihad with the soul and the struggle with the enemy that lies within the soul .. satan, selfishness, fanaticism, the devil of intolerance, archeology, and madness of empty leadership .. i forgot that islam started with thirteen a year of psychological education in the school of prophethood, where the great companions were trained in c ed older with self .. in the separation of walker snakes amplifies dr talking about israel and what the zionists are doing from the crime and killing and seek arms from one side in the face of the world of islam, and the extent of their threat to slmm. he also states that zionism is doing what he called terrorism that is funded by abroad with millions of dollars, imported bombs and imported missiles. with their torah.
",Positive,Positive,0.18099897
"all details are close to reality
",Positive,Positive,0.03203641
"good project, god bless you. hygiene site price. nothing
",Positive,Positive,0.052133974
"kuwaiti in dubai. location and rest. the lack of cleaning of rooms and services, and the absence of clinics and shampoo
",Positive,Negative,0.9571321
"why did they hammer the walls? . .... in my opinion, death for the goal is better than the death of the target itself. ... amazing despite all the pain
",Positive,Positive,0.024669526
"i really enjoyed my stay at the muhammadiyah palace. . the breakfast was beautiful and varied .... the bed was comfortable ... the smell of the bedspreads and pillows was nice and fine ... and the apartment was clean and spacious .... and the service was prompt by the staff .. the sprinkler is rather narrow .. room cleaning service does not focus on vacuuming carpets when ordering to clean the apartment ... but overall their cleaning was good.
",Positive,Positive,0.03178921
"fantastic place . fast and efficient car service.
",Positive,Positive,0.056560766
"of books that talk about beauty. beauty if inside you you will see everything around you is very beautiful. it has a spontaneous spirit that refreshes you and gives you a terrible joy. the most liked chapters ordinary person. a terrible dose of enthusiasm. do not miss this book from your hand:
",Positive,Positive,0.15564859
"a wonderful and elegant work that adds to the balance of al-aswany .. what i liked most about the novel is drawing characters, penetrating their dimensions, controlling and mastering their keys .. as well as the elegant and elegant literary style and smooth language, aswani possesses in his literary style the so-called easy refrain
",Positive,Positive,0.08323798
"very very useful in knowing many of the differences between the nature of men and women ... useful for all who are about to marry and all married couples too .... useful in general even: i recommend reading it
",Positive,Negative,0.9726528
"excellent. breakfast buffet and excellent staff treatment ..
",Positive,Positive,0.0023284426
"wonderful in the full sense of the word; god, it is a word that does not fulfill its right. as long as you are our creative writer, we love you and we will love you until we die.
",Positive,Positive,0.009599166
"excellent. . there was no greer authority in haha
",Positive,Positive,0.010971451
"i advise all of you to read itaaaaaaaaaaaaaaaaaaaaa
",Positive,Positive,0.03830269
"a unique and unique book in which he listed differently from our master muhammad, peace be upon him .. i recommend reading it:
",Positive,Positive,0.04749756
"a beautiful novel that loved me reading because my beginnings of reading were with her. literary dream style is wonderful
",Positive,Positive,0.045230202
"gorgeous . spacious hygiene. inspection upon entry denotes reception and lack of smile
",Positive,Positive,0.015649304
"the second part of rare cases was full of exciting and strange stories during which the writer fought terrifying adventures, but they must have been interesting. in this part, i lived with every teenage girl .. but my wonder was bigger .. because i really realized that the women’s plot is often great. these accounts showed me many facts that i cannot believe in my life because of the nature of the kind woman who is looking for tenderness only. the story of our neighbor&#39;s girl who bury cats amazed me with her amazing ability to mask a story of fiction and even her ability to do such a pernicious work that is the heart of a human being. and the story of where my husband&#39;s wealth is is no less than her predecessor, so how can this kind, loyal woman to her husband dare to do such a thing, but how can this sister of her wife take revenge and plan a crime that is such a real ugliness the world ugly brutally his strange secrets ... as for the flat girl number has loved her a lot .. her innocence and personality that really attracted me, even though her story did not carry a lot of weirdness. someone visited us at night and astral projection interfered with the symptoms of stendhal .. i liked it very much. i was very interested in the issue of hysterical fleeing ... as for a complicated issue, all of its events were stupid. i used to laugh a lot at the strange behavior of the writer .. nothing provoked my interest except the operation that that doctor performed .. replacing the mind cells is truly amazing. . this part was more beautiful than its predecessor: ..
",Positive,Negative,0.5353139
"they live in a nightmare in which they feel creative. when they wake up from that dream, i will have preceded them with life. that&#39;s how fun is. influence: real ;. very worth reading
",Positive,Positive,0.01793467
"a beautiful dialogue between a new contemporary couple and in a social atmosphere and authentic egyptian traditions ... i liked the conversation that is very important to me and what is most beautiful is that it is colloquial
",Positive,Positive,0.024750045
"the language is good and the narration is tight in the majority of all parts, but there is a bit of boredom and much more detail. if they were removed, the topic would be preserved completely ... the news margins are great ... i could like more than i liked because the novel ... has a very negative personality and exists from it, so society has a lot , abdul majeed and all the characters that i met in the novel are passive and almost no positive personality other than a single mother who served a thief to answer the electrical appliances ... :. the totality is complete ..
",Positive,Negative,0.6775496
"really great hotel, it was an enjoyable vacation. the place is really amazing. everything is really beautiful. the swimming pools, the restaurant, bars and service are excellent. everyone who really takes care of how happy and fulfills the requests of those who eat is very beautiful except for the asian dinner. i need an increase in its items, but in general the whole food is good and the manager of the restaurant a / hani is a person in the highest respect and humility and service and reception very respectable people like a / peter for example, but not limited to myself, god willing, i will return again ... but it is necessary to see a solution to the law because the place is so beautiful, free a simple problem uniform de people get upset .. and i wish the beer is added to the comprehensive system of egyptians because it is not considered alcohol .. and advise what extent he actually visiting the sierra because he never hendm mesh ...
",Positive,Positive,0.06268411
"go everywhere. the location of the hotel is average to reach all places in bur dubai or deira or even sharjah and other cities and old and new deaths from several different ways. there is a market and massage places around the hotel and the oud metha area has many different restaurants for different tastes and prices are reasonable as well as other services such as laundries, but beauty places for women and others .... the bed is low, which leads to lack of attention when passing by, and the effects of hitting the leg and leg frequently. . the quality of the bed sponge is not enough because we wake up and feel that our bodies are broken. . the restaurant is small and accommodates the number of customers if the hotel is full.
",Positive,Positive,0.46174976
"gorgeous . reception officials are egyptian nationals, their treatment and cooperation is wonderful. price change from reservation due to taxes, new buildings, blocking shadows on khors, high price of apartments
",Positive,Positive,0.015671952
