Text,Label,Predicted Senti,Predicted Score
"i bought this toy in 2004 (is a little different than the newest model) for my baby and she loved it!  we kept it and now it's as much of a hit with her little sister. yes, the yellow piece can sometimes detach if it's intentionally pulled-off, but it's easily fixed and hasn't been an issue.  i can honestly say that this toy has been the most played-with item in our household with both of our children.  :)",Positive,Positive,0.049827836
"both boys figured out very quickly how to make the balls pop out and they were crawling fast to get them and put them back in the toy.eight months later, they still play with the toy and think it is so much fun.they learned to put the balls on the ramp and where to push in order to get them to pop out -- in minutes. they now know that you can't put everything into the holes and make it work.highly recommended.",Positive,Positive,0.0527012
"my daughter received this for her first birthday and loved it from day one. it did not take long for her to figure out just how to press the plunger to begin the fun.  she is 2 1/2 now and it is still one of her favorite toys.  some have complained that the balls fly all over the place.  for my daughter, this only added to the fun.  she loves chasing them and running back to put them back in and start all over again.  i would caution that a child's arm can get stuck in the tube. it happened to my 3 year old niece, but we easily got it out.",Positive,Positive,0.029626207
my son received this as a gift for his first birthday.  it has been such a hit since day one.  he is 17 months now and still loves playing with it.  it keeps him occuppied. his cousins who are 3 & 4 enjoy playing with it too.the balls do bounce all over the place so you have to be careful so you won't loose them.  i would still recommend this toy.,Positive,Positive,0.0013828026
"this toy has been around our home for at least a year and it's still being played with! and most parents know that children attention span as it relates to toys is short! my 5 & 10 year old love helping my infant put the balls in and watch them pop out (i admit, i do too). the music is whimsical and catchy. the only down side is that when the balls gain momentum, they pop out all over the place. and if you have a tiny one that can't retrieve the balls, you'll have to do the footwork.  it wont last long though, soon your little one will be chasing all the balls and having a good time!",Positive,Positive,0.07697288
"it is loud, but so are a lot of toys. our son likes to play with it (he is a little over a year old) but he doesn't usually play with it for very long, and he doesn't play with it very often. it spends a lot of time on the shelf.the version we have is made up of a base, the long slide, and the thing on top. if he tries to pick it up, it comes apart. it snaps back together pretty easily. since you are looking at in online i thought i'd add that in.",Positive,Positive,0.4135082
"my six-month old received this for christmas and it has held her attention from the word go!  (it also entertains my three-year old too!)  &#60;br /&#62;&#60;br /&#62;unlike some other reviews, i have had no problems with the yellow piece un-attaching.  pretty much took it out of the box, added batteries and voila!  the music is great - lots of variety - and the colors of the swirling balls is quite eye catching for a youngster.  the red plunger makes it easy for little hands to push down to get the &quot;ball rolling&quot; so to speak. &#60;br /&#62;&#60;br /&#62;i'd definitely recommend this, especially for the price.",Positive,Positive,0.0015594638
we bought this for our 2 year old granddaughter for christmas and she absolutely loves it! i don't think i have ever heard her giggle so much in her life...lol i would recommend this toy for any young child. :),Positive,Positive,0.07571074
"my son received this a few months ago as a gift for his first birthday.  the one we have is different colors than the one shown, but from the moment this was removed from its box, it has been a favorite for him.  he quickly learned how to push the button to turn it on and enjoys chasing the balls all around his playroom.  he also enjoys just putting his face over the top to feel the air come out.  :)  my only complaint is that when he puts something in the ball shoot that is not supposed to go in there, it is a little difficult to pull it apart for when i have to dig it out.  i suppose it makes it good that they can't easily rip it apart, but makes it difficult for mom when you're trying to fix it and you have an angry 16-month old that just wants to play with it...  overall, i would highly recommend this toy!",Positive,Positive,0.24776092
my dd is 15 months and has had this toy for 3 months and she still enjoys it.  its one of her favorite toys.  the balls ocasionally get lost but we find them :)  overall its a great toy! but a little loud but its worth it!,Positive,Positive,0.0011552745
"my son is 2 1/2 and loves this toy. he has had it for quite awhile, and still laughs until he is silly everytime the balls start flying everywhere. the only downfall to the toy is the ball ramp tends to come off alot, and my son can't get it back on by himself. also, it only comes with 5 balls, so i ordered more from [...]. 5 balls and a bag for $[...].",Positive,Positive,0.017025355
"i bought this for my daughter because i found the commercials very amusing. the toy looked like a lot of fun. as soon as my daughter (9 months old) saw the box she started clapping and cooing (prob. because of the bright colors on the box). i put it together (pretty easily i might add) and we let the fun begin. my daugter and i played with it for nearly 2 hours. at first she didn't know what to think, the noise made her a little scared but once she saw the balls pop up and we started chasing them around the toy quickly became a favorite of hers. now she crawls up to it hits the plungers and looks at me and my husband like ok its time for the family to play.one word of caution, my daugter is in the ""pull up"" stage and she tried to pull up on the toy and we had to scramble to catch her, therefore, it is a toy that needs strict adult supervision, but it give the family an excuse to paly together. we love it !!!",Positive,Negative,0.5772091
"hard to know how to review this, but needed to say something...this is my son's favorite toy. in fact, he will play with very little else. he turns this on every morning by 6 am. he will make his way through a completely dark house to the front room to find this. the music is way too loud and it's insane. and i have to listen to it all day long. if he's awake, this thing is on. yes, the balls shoot all over. yes, this would be the toy the devil would make if he could make toys. but my son loves it. plus, he has learned how to fix it on his own when the balls get stuck in the tube, and it taught him how to put balls in a small hole, and he'll hunt all over the house for the ""right"" balls to fit in this, as he has learned that using the ""wrong"" balls messes it up. so it has taught him a bunch. but i still hate it. we buy him other ball-type toys in hopes that he will forget this, but he ignores them all. we once switched it off and told him it was broken or dead or something, but he pounded on it and screamed to the point where we worried he would hurt himself, so we swtiched it back on. if we put it away he hunts for it non-stop. fyi, my son is 13 months and has had this since he was about 7 months, and his fixation on it only gets stronger. he sort of likes the dino ball drop, but it's no ball popper.",Positive,Negative,0.7346653
"bought this in 2007 for christmas. 5 years later it is still working the same. sometimes the balls get stuck and need a little boost. usually when the batteries are extra fresh this is not a problem. my kid loved it when she was a little under a year old and still loves it to this day and she is almost 6. held up enough to pass down to my 16 month old who also loves it, especially when the balls fly out she loves going to get them and putting them back in music goes great with the action of the balls as well",Positive,Positive,0.009437796
"this toy is fun and includes quite a bit of exercise.  some of the balls go rolling off and the baby loves chasing them and bringing them back and watching them go all around, dancing around to the music the whole time.  great fun and great value all the way around.",Positive,Positive,0.0016909305
"blowing up little plastic balls through a tube using a force of air and have them fall into a  ""funnel"" and down the chute only to be forced back up all over again.  how simple is that?  how engaging could this be?  the answer would amaze you,  it did me.i got this for my 13 month old and he loves it.  i love to watch him play with it.  i love to listen to him when he plays with it!  unfortunately, he cannot play with it alone.  it attracts everyone!  even the adults.  it's like the open bag of chips that makes all the hands appear!yes the balls go all over the floor.  that is the fun of this.  baby crawls and retrieves them.  i am so proud at how he brings them back to the toy.  sometimes he even pushes the toy to each ball on the floor.the top ""funnel-like"" fountain part does come off easily but it goes back on just as simply.  it is not a big effort to put it back on.now the mom scoop and what it does for me....i can get about 10 solid minutes of ""not chasing baby around time"" with this.  that makes it a winner!  when my older boys sit and do this with him, i can get more time.  sometimes enough to dust and vacuum the entire downstairs.  sometimes enough to dry my hair, or put the laundry away!  those of you with toddlers can appreciate the happiness that goes with starting a small task and completing it in one shot!the concept is simple, the balls are bright and colorful.  there is enough noise and activity to engage everyone for longer periods than i imagained.  this toy will not find its way into the toy box any time soon.  in fact, i am finding it in different rooms of my home as i carry it around with me when i need to baby to sit in the room with me for a couple of minutes here and there.i plan on giving this as gifts to my other mom friends who have not yet discovered this treasure!substantial toy even before you take into account the weight of the 4 d sized batteries it needs to operate.no problems with little hands getting stuck, i don't leave my little guys alone in rooms, maybe when their 21 i'll consider it...ha ha!great toy that will ""steal the spotlight""!rosemary",Positive,Positive,0.28959095
"my mom thought that i was crazy getting this for my son. he absolutely proved her wrong, he loved it. he would get very sad whenever it would break (batteries would go dead). he would laugh as the the balls would come out and then go after them. he also thought it was fun just to press the button and let the air hit him in the face. this is a great toy and i am glad i got it for my son.",Positive,Negative,0.6385762
"this is tons of fun, i would say for 16 mos to about 3.  the balls do not stay in the machine, they pop out and you have to chase them, so the entertainment only lasts so long.  oh, and it is easy to remove the other things your kiddos might stick in there...",Positive,Positive,0.17248641
"we got this for my twin girls' first christmas.  they were 9 months old and too young for this, but my 5 year old loved it.  now, a few months later, the babies can figure it out, push the button, drop the balls in.  my son will play with it with them.  it's a fun toy, it keeps the babies occupied for a while, it even effectively allows me to sit my ""don't put me down"" mama's girl down and get a few minutes to work at something else before she starts crying to be up again.things i don't like - it's useless without the batteries.  the balls need air to come back out.  i think i should have gotten the tomy toy with the spiral ramp the balls just roll down, and you pick them up, and drop them again.  i didn't think about the batteries needed aspect of the toy when i bought it.balls tend to roll all over if you have hardwoods which will make younger babies lose interest - but keep faster, better crawlers active.balls tend to disappear esp. if you have a 5 year old who likes to stash things.  we were down to 2 balls for a while.  not much fun.air blower tends to stop pushing hard enough at times - for some reason holding your hand over the spout will make it pop harder again.  my son figured this out.  babies don't get it, they just sit there and wonder why the balls are wiggling but not popping.overall it's ok.  i think the best part is how it gives my older son and my babies something to do together, so long as he's not being mean and stashing balls.the music can be amusing, especially if you are rushing around trying to clean and the one song, i think it's the theme to the lone ranger comes on - it's like you have a sound track.  pushes you to go ever faster.  also if one baby is in the other room and i push the button, she comes crawling as fast as she can to watch.  obviously she likes it.i got this because a friend of mine said it's a toy her now 3 and 5 year old still won't let her get rid of.  i can see it being entertaining for a while to come, unlike a lot of other baby toys.",Positive,Positive,0.48241797
"my daughter received this when she was 13 months and has played with it everyday since (she is now 20 months).  she loves to feel the air blow through the hole in the top and catch a ball.  this toy helped her learn her colors, especially when we would have to search for a ball.  every time she presses the ""plunger"" she yells and squeals as if it was the first time she'd ever done that.  it is loud and bright and exciting -- very fun for a child to experience.  (it's also her daddy's favorite toy!)",Positive,Positive,0.16978759
my boys love this toy! we have had it for 3 years now and it holds up very well!! every time kids come over to play this is what they always want to play with! it is very durable!! way worth the money!,Positive,Positive,0.0021180664
"my son loves this toy and so do we.  he is 9 months and has had it since he was 6 months.  he doesn't necessarily use it the way it's intended, but he loves to turn it on and pull it towards him so the balls go flying out and the air blows in his face.one trick we learned is to wear the batteries down a bit; the balls don't fly out as fast/crazy when the air flow is weaker.  (note: if it gets too weak, you may have to block the airlow to build up pressure to get the balls started)  also, if the sound is really bothersome (doesn't bother us, but read reviews where it bothers others) you can remove the battery that does the sound.  can't remember which one it is, but you can find it by removing one at a time and pressing the plunger until the air works but it's silent.only downside to this is that our ball ramp doesn't lock into the bottom part securely, so we have to press it in pretty frequently.",Positive,Negative,0.9239444
"we just got this for our 10 month old and 2 year old and they played with it non-stop for an hour!  it does pop the balls a lot and the music and sound effects are cute, but beware the balls don't stay in the ramp.  this could be aggrivating to an adult or an immobile child, but my two year old thought that was the best part!  she squealed with delight when she'd have to go 'find' the lost balls, and even got mad at me for helping her!  this will come in very handy for us when it gets 115+ this summer and is too hot take the kids out.  if your baby is too small to get the balls by his/herself then beware that your child would require you to help during play.  fyi.i would say that if you take away one ball, leaving four in the toy, that it is much more 'subdued' and the balls don't go flying everywhere - instead they just kind of roll around and spill over the top opening.  i think that would be more appropriate if a small baby were playing wtih it alone or for a special-needs child who couldn't move too fast to catch all the balls.don't forget to order four 'd' batteries if ordering online!  i do think golf balls would work in case the original balls get lost.  enjoy!",Positive,Negative,0.64645904
"my daughter got this ball popper for her 1st birthday this weekend.  after we put batteries in it and started it up she started laughing and screeching!  she absolutely loves it!  it will entertain her for 30 minutes by herself, she just pushes the big easy to use for little hands button and the giggling starts!  the day after her party daddy, big brother and birthday girl were playing with it for nearly two hours!  they all had such fun!  just a warning it eats batteries so stock up but you can't get a better toy for a child of any age, even the kids that are normally ""to cool"" will have a blast if they are playing with the younger ones with this!",Positive,Positive,0.06946056
"my one year old loves this toy!! we haven't had any problems with it either. it's loud, but it's a kid's toy, they're all loud and my kid is even louder. so, we love it, he loves it, his friends love it, i would totally recommend it.",Positive,Positive,0.0037968103
we got this when my son was about 8 months old and now at almost 14 months old it's still a big hit!!  we always try to bring a familiar toy whenever we're going on vacation either in a hotel or at a relative's house and this seems to make him feel right at home!i just wish the balls could be bought separately in the store (our pets are always running off with them) instead of having to fax the order in and wait 4-6 weeks.  we've tried other plastic similarly sized balls and they don't work.it's a great first birthday gift too!!,Positive,Positive,0.1551118
"i bought this toy in 2004 for my then 7 month old. since then, it has been a constant fixture in our playroom. now, it is great fun for our 11 month old son. in fact, both of them play together.it is quite durable, able to withstand heavy play for almost 4 years now. the batteries have been replaced only 3 times. the top yellow tray will come off with rough play, but we have had no other problems.as with all noise-making toys, if you cover the speaker with some clear packing tape, the sound will be muffled but still audible.i highly recommend this toy for ages 6 months to 5 years and maybe beyond.",Positive,Positive,0.108527735
"my twin boys love this ball popper and their cousins love the one we gave them. it's a simple toy that uses air and balls to endlessly entertain little ones. even the 6-year old played with it. there is only one drawback - it's loud. the music is tolerable but the fan that blows the air is really loud. still, i've never met a kid that didn't love it.",Positive,Positive,0.11081767
"my son absolutely loves this toy. it keeps him occupied for long periods of time. it was one of the best 20 bucks i've spent in a while. we bought this toy for our son when he was about 8 months old, he's 15 months old now, and he still plays with it almost on a daily basis. it takes awhile for the batteries to run out too, i think we've only had to change the batteries once or twice. i would totally recommend this toy.",Positive,Positive,0.01382934
"wonderful toy! very colorful and musical! the only reason i'm giving it 4 stars is because the balls sometimes pop out too far and go rolling across the room. this is no big deal when my 3 year old is play with the baby because he goes and gets them for her. in fact, it becomes part of the fun! however, if i sit my 8-month-old down to play with it by herself, then it isn't long before she's completely out of balls and the toy is just playing music. perhaps when she reaches the 9 month age, which is the recommended age, she'll be more mobile and better able to reload the toy when the balls go flying. very happy with it, though! would buy it for a friend!",Positive,Positive,0.17051816
"gave this to our grand-daughter for her first birthday and she loves it. has no trouble pushing the plunger to start it. she sometimes chases the balls, or will sit and watch the movement or will put the balls back in. she seems to enjoy the music. i have to admit, i find it really fun, too!",Positive,Positive,0.0048758043
"this toy is truly one of those toys that will be sought after in 30 years when parents are looking for quality toys for their grandchildren--so buy it now!  this is a 5 star toy - no doubts about it. this toy is the ideal cause & effect toy.  babies and toddlers love the fun music, they are awed by the speed at which the balls fly out from the tube and they will eventually learn how to press the large button by themselves, and they are absolutely intrigued by the unpredictabliity of how the balls fly up and roll down the tube. fascinating!!! the balls do fly all over the place so just know that, but that is all part of the fun. yes, you will defintiely be looking for balls under your coffee tables, etc., but so what? this is such a great toy. this is also a great toy for children with autism.",Positive,Positive,0.046094637
this toy has occupied both of my kids far longer than most of their other toys.  we love it!,Positive,Positive,0.00012771082
"i bought this for my son when he was 4 months old at walmart for $9.99 and it came with another toy too.  he loved watching the balls go round and round and over the next few months, he learned to use it to pull himself up with (he has awesome balance, i wouldn't recommend that).  he also liked to take it apart and just feel the air blow on his face.  i'm sure this is a one time thing, but at about 7 months, he spit up down into the tube while he was playing with it ( he had bad reflux)  and i was able to clean it out easily with a damp rag threaded through the tube.  now, that's a durable toy!  over the months, the way he played with the ball popper changed.  he started predicting that a ball would pop out, so he put his hand over the hole and stopped it.  he would remove the balls quickly as they came down the chute.  at 19 months, he still enjoys playing with it, watching it, dragging it around, and interrupting the flow of the balls and replacing them.  this toy is a great buy and will last a very long time.update 2014: my second son played with it a lot as well.  it worked just as well and was just as engaging for him as for my first.  i took out the batteries and put it in the attic in a box of ""save for grandkids"" toys that are things i just can't part with.  maybe it won't work in 20-25 years, but i hope it does.  just like i wish my parents had kept that clown hat sprinkler that now sells for hundreds on ebay because it's so ""dangerous"" (we had a lot of fun!)",Positive,Negative,0.5213652
"i didn't read any of the other reviews, before or after my purchase, this is solely based on my son's and my experience. my son got this when he was 21 months and he loves it. the balls popping up are great fun for him and he can play with it for a while. as parents know anything that keeps your toddler interested past five minutes is a score toy. i enjoy it because it's one of the toys that i can engage my son with and actually play side by side with him and just have fun. replacement balls can be ordered using the link below.[...]",Positive,Positive,0.09837008
this toy is fun; it shows cause and effect and makes mom/dad run around the room scooping up the balls.  be prepared to have all the balls pop up and roll away from where you are sitting so by the end of the song there are no balls in the machine.  i keep a spatula/soup ladel with me when we play so that i can scoop the balls up as the machine goes.  it is a lot of fun and the older the kid gets they can chase the balls.  at 6 mo old our son enjoys pressing the button to start it and watching the balls pop up and then go back down the shoot.  it is fun and worth the money.,Positive,Negative,0.5075182
"we got this toy for my daughter for her first birthday.  she absolutely loved it from the beginning!  four months later, she still loves it!  she plays with it almost every day and learned how to press the button to get the balls to pop out the very first day she got it.the balls do tend to go all over the place though.. so we spend quite a lot of time chasing balls (but thats the fun of it i suppose, my daughter loves to chase the balls and put them back in the ball popper.and just a note i want to add:  if your child is afraid of the vacuum cleaner, then i wouldnt recommend this toy.  the motor is kinda loud.  my daughter has never had a problem with it, but it scared the living daylight out of another kid (who was about 15 months at the time) at a playdate!overall, very good toy.",Positive,Positive,0.12160767
"this is a great toy to keep your kids busy. it only takes a couple of tries to get the balls up, if the batteries are not tottaly full its not going.if your kid by exitment puts the wrong ball it that is a little bigger its a huge hassle trying to get it out. unscrewing cracked ours a little.it was a nice gift and nice entertainment for my son!",Positive,Positive,0.19865301
"this toy has been such an enormous hit at our house, it's hard to complain about it:  we have children ranging from age 1 to age 7, and they all play with it, with great delight.  but, it's so loud!  it's like running a hair dryer or air popcorn popper, plus the frantic music and silly noises.  it drives me nuts after about thirty seconds.  but they love it.  i guess i'd call this a ""play with it in your room with the door closed while mommy puts a wet washcloth on her forehead"" toy:  worth every single penny, but a parental love sacrifice to allow it in the house.",Positive,Positive,0.13183933
we got this for my daughter for her first birthday.  she loves it.  the music is varied and plays a lot of different songs which is nice so it doesn't get too repetitive.  the balls do pop all over the place and my husband and i end up fetching the balls more often than not.  which is actually a pretty fun way to be involved with the game.  she likes watching the balls and trying to catch them and push them back down.i really recommend this toy.  it's a lot of fun!,Positive,Positive,0.04315574
"we ordered this toy as a gift from santa this year for our 8 month old son and he loves it as do we.  it was easy to put together & learn how to use.  the ""plunger"" to activate the toy is easy for a baby to use, even if by accident at first ... now our son is learning more ""cause-and-effect"" and figuring out that when he hits the plunger, the toy turns on.he laughs and laughs when it is on and i love that it shuts off after 30 seconds autmotically.  even when the balls aren's in it, my son loves to tilt the ball popper towards him and feel the wind blowing in his face and he laughs at that too!  my 6 yr old son also loves the toy and interacts so well with the baby when they play this together.my only ""negative"" comment is that the balls eventually pop all over the place and don't stay in the popper, so they are gone and i have to find them, pick them up & put them back into the toy in order for my 8 mos old to enjoy it again.  this gets ""old"" and the balls keep rolling underneath the furniture.  but, in all fairness, it states right on the box that the balls don't stay in the track of the toy all the time.huge thumbs up from me on this fun and innovative toy.",Positive,Positive,0.21628824
"if you're looking to make a hit with small children, you can't go wrong with this one.  adults fail to see the fun, but i've yet to meet a kid who isn't entertained by the ball popper.  the durability of this toy makes it worth the price.  every home with small kids should definitely have this one handy.",Positive,Positive,0.118614644
"it is a lot of fun.  it is frustrating because some of the balls pop out of the toy and i have to chase them, but she loves it!!!  my daughter is 10 months old, and doesn't quite get it yet, but i know she will!",Positive,Positive,0.04027699
my son did not pay any attention to this toy for the first 6 months.  everytime he would try to play with it the tunnels for the balls would fall apart.  the fan is too powerfull.  it shoots the balls out of the toy and all over the place.  since the batteries have died down a bit and the balls don't fly out of the toy my son enjoys it.  he likes trying to catch the balls as they are rolling by.  i guess it depends on the child.,Positive,Negative,0.9493317
my one year old loves this toy.  i agree with other reviewers though--you have to constantly pick up the balls.  it is also a bit loud.,Positive,Positive,0.06151328
"my sister had this for her older daughter, so i had to get one for our little girl.  at first we weren't sure if she liked it or not, but then she started whining if we didn't push the plunger again fast enough (she doesn't quite have the leverage yet to push it herself).  she loves to watch the balls, experiments with what happens when she blocks it in certain places, pulls balls out....this is a very durable toy, so it is easy to find used, but it's worth it to buy new.  my niece played with it from 6 months through 3 years!the whole thing is pretty sturdy.  the only negative is, as a previous reviewer said, you spend a good amount of time retrieving balls, if your child isn't able to go get them herself.  but the fact that the balls sometimes go popping up and out unexpectedly is one of the most attractive things about this toy for the kids, and eventually she'll go get them herself.",Positive,Positive,0.15725698
"we got this for my son his first christmas and he loved it right away. he has gotten his hand stuck but it was easily removed with adult help. he also likes to block it up by putting small toys such as wooden trains down the tube. every friend he's had over to play has also loved it. my biggest problem with it is how quick it burns through batteries. it looses blowing power fairly quick and then you have to push the balls down the return end to get enough pressure for it to blow the other balls out the top. but given how much my son loves it, it's worth every penny in batteries and initial cost.",Positive,Positive,0.18801856
"we bought this toy when my son was just 3 months old.  it's amazing how he has enjoyed this through the months.  he is now 16 months old and loves it just as much!  he loves the balls popping out, the music, he now loves turning the switch on back off and on, tries fitting other objects in and discoverying if they will pop out too... great all-around toy.",Positive,Positive,0.0005594147
i bought this toy for my son's first birthday.  his eyes got real big the first time i turned it on.  he loves to grab at the balls and stop them from popping.  i like it because the sound effects are really neat...and the balls blow out at different heights. the only disadvantage is the top yellow part comes off easily when he leans on it as he's learning to stand.  but other than that - it's a great toy.  i know 4 other people that have it and love it!,Positive,Positive,0.015063358
"my sons played with this at a friend's house and enjoyed it so they received one from santa. both boys (ages 17 months and almost 3 years) love it and even my 6 yr old daughter joins in too. it seems very durable, especially in comparison to some of the other things they got recently. definitely would recommend this for some simple, silly fun!",Positive,Positive,0.0055602533
"this is a good toy for a toddler, not a baby. i've used this toy in two different settings (first as a nanny and then as a mom) and both times, the babies were terrified of it. it's just too much stimulation for a 9 month old. the balls fly everywhere and you've got to run about after them to keep it going; unless of course, you've got a toddler, then they can run about after the balls (which seems to be half the fun for them). good toy, but not until maybe 14 months.",Positive,Positive,0.23240043
we bought this toy for my son's 1st birthday and he love it from day one. the tunes are cool and varied and the crazy poppin action is hilarious for my little one. its true to say that most of the time was spent chasing after balls and finding them in strange places. after 5 months he started to lose interest and was more fascinated with the hair dryer action you can do w/o the balls. i would imagine when hits 2 he might like this again.,Positive,Negative,0.584316
"i wasn't sure about this toy, but then i went to a playgroup where there was one... every child there, from 5 months to 5 years, was playing with it and having a blast!  i decided to get one on the spot.  my baby loves it!  the balls are a bit of a pain to chase, but it's worth it for the entertainment value.  very few toys hold my demanding girl's interest for long, but this one is a winner.",Positive,Positive,0.028152056
