Senti score,Senti words,Original Tag,Original text
Positive,finished internal conversation narrator deliberately left answer question address two intelligent two lane learned spiritual saw life trivial deadline two fierce side crime childbirth rope open abyss reveal anger psychological chair utter loud voice free voice lawyer preferred remain others chance cross path life hurricane change duty change without final right overthrow question mark replace point contact seek righteousness except front pure mirror true true mask clear point talking interpretation clarification people crudeness judgment destiny ghoul soul alienated accept role deceased enough clap analyze laugh make fun punctuation others front around killed away usual role story ended wide vision upper handle talk story color mixed passing shadow clear frivolous pulse impact life impress work give two origin simply absurdity hear wanted build philosophy inability fateful mysticism absent mind intelligence analytical line story temple reach meaning bitter unforgivable mistake adopt philosophical intellectual story first sew garment wide reader catch distress legal structure reach meaning necessary avoid judicial defensive construction receive disgraceful work reader looking murderer much wellbeing suffering emptiness,Negative,"When I finished this internal conversation between the narrators of the narrator, who deliberately left the answer to his question / address suspended between two intelligent and two lane gemazets, I learned that Ghassan had reached the spiritual tampering area, and saw life as a trivial deadline between two phases of a fierce war. Laila is the other side of the crime of childbirth, so the rope that takes you open to the abyss, so either you reveal more than anger or you are blamed on your psychological rocking chair, do not utter a loud voice other than your free buried voice. Saleh / lawyer preferred to remain retired from the others, leaving it to chance to cross the path of his life a hurricane and change what she sees as a duty to change without having the final right to overthrow a question mark or replace a point of contact. Saleh, who did not seek his righteousness except when he found himself in front of a very pure mirror, his true / true mask, and it became clear to him that there is no point in talking / interpretation / insistently addressing clarification /. From him and even his murid and his submerged people from the crudeness of judgment, whether it was a destiny that he sent down to the den of the ghoul, so the soul became alienated to accept the role of the deceased? Or is it enough to clap, analyze, laugh and make fun of the punctuation marks that others have placed in front of him / around him / between him / above / below him? Layla . She was killed ... or she passed away, or only her usual role in the story ended, and therefore I opened a wide field of vision so that the upper handle would talk with the threads of the story, and its color would be mixed with a passing shadow and a clear name and frivolous events that reached its pulse on the impact of a predetermined life / end .. Why did it not impress me? the work ?? Why did I give him two stars of origin because he simply touched the absurdity as Ghassan touched it, but I did not hear from her aura because the latter when he wanted to build the philosophy of non-life, inability and fateful mysticism absent from his mind the intelligence / analytical line of the story, jumped from the temple to reach the meaning, and this It was a bitter and unforgivable mistake. To adopt a philosophical / intellectual story, you must first sew the garment in wide sizes so that the reader does not catch you from distress and confuses you in questions that you yourself ignored .. We have a legal issue that was the structure, but to reach the meaning it was necessary To avoid the pitfalls of judicial and defensive construction lawyers so that we receive what he kneaded Ghassan Na and I was the face of this disgraceful Hedda work .. Overall: Dear reader is not looking for a murderer Leila and do not care about, just admitted that all provided by you much either compelling or well-being of the suffering of emptiness.
"
Positive,star fresh language political prisoner love novel vulgar repeated writer trying fill void imagination crude sophistication love choose book waste time reading order see decay,Negative,"A star for the fresh language and because he is a political prisoner, but the love in the novel was vulgar and repeated, as if the writer was trying to fill the void in his imagination with crude details that scratched the sophistication of love. ,. Three times it occurred to me that I would choose another book that I would waste my time reading this, but I was biased in order to see the end of this decay as to where it becomes?
"
Positive,video capture card link,Negative,"Pros and cons of video capture card channels A four-port link from EasyCap
"
Positive,enough liked breakfast uncomfortable cleanliness impartial cleanliness delay internet money,Negative,"It is enough that she was in the Sacred House of God. No, what I liked about breakfast and the beds are uncomfortable and their cleanliness is not impartial. Breakfast, cleanliness, delay and internet with money
"
Positive,first novel seeing story completed feel lost time bad novel long time pass two half interesting lose realism credibility literature terror deserve literature without clear goal start reading feel writer cover fun able collect link new avoid need writer information loss lost sense condition work order poor possible missing hour bad completed novel find familiar fix mistake happen blood event blood indispensable second blood champion second blood life bad writer finished book famous sentence hero wake sleep terrified thank much nightmare novel gain pleasure hope writer message goal lose goal fun interesting evaluation cover cover author curse away writer deserve star novel gift birthday think reading think finished preferred write completely sharp hurt writer,Negative,"The first novel after seeing a story to be completed by you .. By Dr. Ahmed Khaled Tawfiq I feel like I lost time. A bad novel with all its meanings. It took me a long time to pass her two months and a half. Not interesting ... and lose realism and credibility in the events ... it is not classified as a literature of terror ... and it does not deserve to be classified among the literature ... without a clear goal. When you start reading, you feel like the writer. Even the cover for fun. I felt that he was not able to collect events and not link them to each other, so he started making new personalities to avoid any need. The writer is information loss and lost sense of it. However, it lacks principles and values. It is not a condition of work in which there are expressions or suggestions, in order for them to be poor. It is also possible that he is missing principles and values and ethics, and his hour of his will will be bad. I completed the novel, and I said to myself now that you will find him familiar with the events ... Now you will fix his mistake ... but it did not happen what I expected. Noisy ... blood ... event spacing ... blood ... indispensable characters ... second blood ... failed champion ... second blood ... end of life was bad. If the writer had finished the book in a famous sentence, our hero would wake up from his sleep and he was terrified, and thank God so much that this was a nightmare that would have swallowed the novel. I did not gain anything, not even pleasure. I hope the writer has a message and a goal that he presents in his writings so that he does not lose his readers even if the goal is fun and interesting. My evaluation has a cover from end to cover / it is appreciated by the author. If you curse her away from the writer, she does not deserve a star. . The novel is presented to me as a gift on my birthday. I do not think when I started reading it, nor did I think it was done when I finished it. But I preferred that I write the reviews of their products after I completely forgot them, so that the words are not sharp or hurt to the writer
"
Positive,enough see old movie,Negative,"Bored, events are expected, and the end is more than enough to see an old movie
"
Positive,location excellent rest disappointing location excellent well good daily fee real level service cleanliness furniture poor,Negative,"The location is excellent and the rest of the services disappointing. The location is very excellent as well as the parking is good and it is at a daily fee of real. The level of service and cleanliness of the furniture is very poor
"
Negative,weak bad,Negative,"Very weak. Nothing like the hotel. Cleanliness is very bad
"
Positive,entrance facade good hygiene sewage everywhere,Negative,"Weak. The entrance and facade of the hotel are good. Bad hygiene and sewage everywhere
"
Positive,book page page beginning story long time ago many boring boring many spurt reaction read page rest see page normal provocative,Negative,"The book is about a page about a page ... In the beginning, I was very enjoying the story ... but it was a long time ago .. It has many details that are boring and boring ... In many situations, there was a spurt in the reaction of the characters ... Frankly I read a page but I promised the rest to see the end ... after all the page ragdoll and the end is very normal and expected and provocative for me
"
Negative,stay location sound street room isolation less normal,Negative,"Do not stay at this hotel. I did not like anything other than the hotel’s location. The sound of the street in the room does not have any isolation. It is a hotel that is less than normal and forbidden.
"
Positive,advise live clean location bad far campus less taxi,Negative,"I advise not to live in it. The rooms are clean. Its location is very bad and they have no services, and far from the campus there is less taxi riyal
"
Positive,book surfboard teenage,Negative,"A book about a surfboard. Fit for teenage girls
"
Positive,worst conditioning internet staff treated poorly manager unreliable nationality problem reservation response top professionalism,Negative,"One of the worst hotels I have stayed in. Air conditioning only and internet. Reception staff treated them very poorly. The Indian reservations manager was of unreliable nationality. I had a problem with the reservation, I contacted the bookings, and the response from Mrs. Hamida was at the top of professionalism and I contacted the hotel.
"
Positive,debt many weak think white better sadness normal dimension office better unfortunately,Negative,"The debt has many parts that are intellectually weak. I think that a white flumester is better than sadness. The normal dimension. Also, I expected that the office would be better, but unfortunately.
"
Positive,ordinary deserve talk much,Negative,"Very ordinary ..... and do not deserve to talk much that is said about it. I didn&#39;t like it
"
Positive,useful advice put forward marital solve,Negative,"All in all, it carries useful advice. However, he put forward the solutions shallowly. He did not delve into marital problems and how to solve them
"
Positive,nothing choice request refusal card enter room day reception knowing paid full amount rate,Negative,"Customer rights and services. nothing. The hotel controls the TV channels and their choice only for them. Upon request, refusal to do so. Organized and exposed to accidents Activate the card to enter the room one day from reception, knowing that you have paid the full amount of housing at the rate of days
"
Positive,think last two novel necessary maybe understand novel finish reading liked idea think mental retardation reading method way foremost love sense writing,Negative,"I think that the last two pages of the novel were not necessary for them. Or maybe I don&#39;t understand. The novel will not be understood unless you finish reading it. I liked the idea. I think some parts of it sensed me with mental retardation while reading it ... the method is twisted in a way that annoys me. First and foremost .. I love Ahmed Al Aydi&#39;s sense of writing
"
Negative,reason finish book little bored reading maybe know,Negative,"The reason I did not finish this book is because I felt a little bored while reading maybe I could end it someday I don&#39;t know
"
Positive,book excellent much distinctive distinctive elegant cover new style feel reading short suit completed twenty nice generous book general,Negative,"The book is not excellent as much as it is distinctive, distinctive in its elegant cover, and in its new style .. You feel that you are reading that you are watching short films that suit the years before them. I just completed it in twenty minutes, a nice and generous book in general.
"
Positive,first reading afraid last quarter two hours read lost brother several opinion novel poor weak suffer major problem writer repeat sentence word,Negative,"This is my first reading of Rabie Jaber and I am afraid it will be the last. It took me a quarter of two hours to read it, during which I searched with Muhammad about his lost brother, traveling between several cities from Andalusia to the Levant. In my opinion, the novel is poor and weak from its inception to the end. I suffer from a major problem with the writer, who works to repeat more than one sentence or word in his writings
"
Negative,weak place clean bathroom dirty place narrow,Negative,"Very weak. . The place is not clean, the bathroom is dirty, and the place is narrow
"
Negative,novel fame size well author market according stupidly without reason writing objectionable method mean author idea novel short display house city outbreak armed government year good offer without criticism confusion hate style genius powerful novel feel put hate microscope defame hate praise people led bloody ugly beautiful misery misery,Negative,"The novel won more fame than its size, as well as its author, and is banned from the Syrian market, according to what was reported stupidly, without any reason. In his writing, he resorted to this objectionable method. I mean the Muslim author .. The idea of the novel in short: It is a display of a house in the Syrian city of Aleppo, before the outbreak of armed confrontations between the Muslim Brotherhood and the government in a year, during and after it, and it is a good offer that is not without criticism or confusion. Perhaps this is another topic It depicts hate in its own style, and it manifests itself His genius is in very powerful parts of the novel where you feel that you put hate under the microscope, defame hate and even praise it between people and between sects, which led to the most bloody and ugly events of both parties ... How beautiful God hates misery and misery.
"
Positive,read novel exactly base cartoon movie know full enjoy,Negative,"I read the novel exactly, and I base with my sisters, watching a cartoon movie, I know its end, but I am full to enjoy watching it
"
Positive,version novel club forgive ability insist estimated,Negative,"Egyptian version of the novel of the fighting club. But I can forgive why his ability to insist on what is estimated
"
Negative,novel badly disgusting,Negative,"How can a novel so badly be awarded the Booker Prize for Best Arabic Novel of the Year? Frankly disgusting
"
Positive,liked understand others,Negative,"Some of her poems liked me, some of them didn&#39;t understand him, others didn&#39;t like me.
"
Positive,complete find drama complete make feel excited acquaintance writer,Negative,"I did not complete it, I did not find the drama that attracts me to complete it and make me feel excited. The beginnings of my acquaintance with the writer are not and will not be the end
"
Positive,history three romantic page history importance love desire desire village tragedy copy seal fourth edition,Negative,"Two pages of history, then three pages about the romantic relationships of the sons and daughters of the Jews, then another page of history, then self-made speeches about the importance of associating love with desire and desire .. Eh, which I am his village ?? And the tragedy is that the copy I own bears the seal of the fourth edition
"
Positive,house boredom worst novel precious read amount bias certain type human mediator ok evil useful remains book religious advice piece advice prayer wish beard dialogue remain little less lot people shape ordinary imagine necessary every novel introduce novel different feeling little intellectual maturity,Negative,"The house of boredom is ruined ... what? The worst novel of precious sentiments, even though I have read almost all of her novels, but this is the weakest thing ever ... Why is that ... What is the amount of preaching and bias for a certain type of human being ... There is no mediator in the characters, ok, very, very evil. It can be useful. It remains a book of religious advice. I don&#39;t care more. A piece of advice for a prayer. I wish that the beard dialogue and the niqab remain a little less than your novels. Although I met a lot of people who are committed to the shape, but they are very ordinary, and they are not superheroes, as you imagine them ... and it is necessary in every novel to introduce them in it. One novel, but the one with whom you have a different feeling is Imago, with a little intellectual maturity
"
Positive,book human development simple amazing know rest book particular,Negative,"The book on human development is simple. Introduction is amazing .. but I don’t know why the rest of the book is for women in particular?
"
Positive,first last time live level poor insufficient tight increased directly payment level management low,Negative,"The first and last time I live in this hotel. . The level of services is poor, with insufficient parking spaces, and it is always tight. Request for increased expenses. Please take bills directly after payment and the level of management is low.
"
Positive,weak novel style lot development,Negative,"A very weak novel and style that requires a lot of development
"
Positive,distinctive novel information social historical status region except two feel surprise suspense integration plot story convincing liked,Negative,"What is distinctive in the novel is that it includes information about the social and historical status of that region ... As for except for these two sides, I did not feel any surprise, suspense, or integration in the plot of the story ... and some of the events and aspects of the characters are not convincing ... and I liked Catherine ..
"
Positive,beautiful novel thousand around relationship two people respect sacrifice novel worth reading,Negative,"A very beautiful novel made me a thousand years around myself, but I got out of it that any relationship between two people should be crowned with respect and containment sacrifice is a novel worth reading
"
Positive,hope better normal moldy cooperation response,Negative,"I hope it gets better. So normal. The Wi-Fi was once tarnished and moldy, and there was no cooperation from employees, and no response
"
Positive,liked introduction first children second third rise grace strength first pen directly affect world jellyfish good martyred polar heat,Negative,"Stone birds. I only liked the introduction and the first poems. Stone children. The second and third poems did not rise to the grace and strength of the first pen and did not directly affect meanings. Dazzled the world. They only have stones. They lit like jellyfish. And they came like good tidings. They resisted. And they exploded. And they were martyred. We stayed polar bears. Her bodies laminated against the heat ...
"
Negative,weak bad,Negative,"Very weak. . Breakfast is very bad
"
Positive,longevity allow normal means first time know idea behind backwardness reactionary primitive desert mentality live limited intelligence brain problem thought people cut rural people happy bless let go buy electrical mean mean feel important girl agreed buy electrical girl agreed easily fanatic buy electrical knowledgeable important important wolf disguised uniform offering practice vice agreed except god fanatic important tortured put stomach iron put shoulder faded passport extent person around glory passport homeless street little lot homeless text hour six story game remains cast first fraud good difficult home fanatic practice vice ordinary fanatic course first fanatic agree fanatic fanatical heart parchment two growing fanatic veil black body grow legal veil world daughter full evil people ready without exception wanted see airport pay attention see exalted work condition see permissible daughter normal impossible week ability capable morning call say passport oh doubt add passport bureaucratic routine ended girl family tortured beat put distant know fanatic girl bounce wish engaged prostitution enter normal world good life good important thanks girl sister girl two right religion sister heavy wine many people fight strive religion know help victorious woman peephole trying guide know aware right religion people know obsession photographer greatest degree privacy veil allow smell smell feel feel holy book next urging chastity cheap atmosphere think religion best rest little backward live happy life others live messy flimsy life children people correct liver right hysteria terror better afraid hate declare friend interested way feel need people entering feel inferior birth say people religion correct enter burn people understand concerned religion feel demonstrate religion wandering order attract largest number entice say invite religious people turn give little bit say debt give away stand say number fascination first need fear heaven invite people astonished first charged contempt know except right right travel without right drive car right work mix call stupid think remain obedient master happy obey queen queen obedient master make collapse water salt people except kingdom sure means remains car exercise travel blood work demolish contact people still queen going export dance say become dancer people enjoy seeing body mean woman obedient husband house wearing black tent oh work dance prostitute stupid thought say sure forbid adultery mean meaning sure music cut thunder behind remain full fornication look keep reading let six mother boil little guava paper remain great respect life offer long enough religious,Negative,"Ha? Verse ? Say this again? The longevity of the man does not allow the man to never .. normal means .. there are no problems .. but the first time I know that his idea is behind all backwardness and reactionary and primitive and desert mentality de? What is it? Either you are flawed .. Either I live on Pluto. Ok blash ... you are a man of your limited intelligence, and your brain is on its feet ... and you will be delighted with any words ... I have no problem ... I thought people would cut you off in the rural areas ... I found people very happy ... God bless the lessons and sermons ... one was Orthodox Fanatic in Russia .. One said: Come, let us go to the Gulf states, we buy electrical devices ... I mean, do you mean the Gulf countries? Why do I feel that the Gulf countries Japan? . The important thing is the girl agreed .. They went to the Gulf countries to buy electrical devices .. They went ... they traveled… The girl agreed very easily that Muslim Arab countries traveled and they are an Orthodox fanatic to buy electrical devices with a knowledgeable one ... Glory be to God. The most important they traveled the most important ... And then here the fangs of the wolf disguised in the uniform of the man-trader appeared, offering them the practice of vice ... all the girls agreed .. all the girls ... except she ... there is no god but God ... she is a fanatic Orthodox ... She works like this ... The important thing is the man tortured and electrocuted. He put out the cigarettes under her stomach ... and heated the iron and put it in her shoulder and faded her passport about her ... to the extent that the other person sat around and met him ... Oh God ... Glory be to God ... I turned on him. And I met him, glory be to God. I took her passport and sat homeless in the street a little .. But because they are the Gulf countries and so .. a lot of homeless .. Yadub is the text of an hour .. I met a man with his mother&#39;s six sisters and his sisters ... I told her story .. and so the game remains cast ... It is suspected first to be a fraud. Oh we are so good But after that, my eyes made it difficult for him and took her home with them ... she is a fanatic Christian ... she does not practice vice, but she lives with ordinary strangers ... she is a fanatic Christian ... of course the first thing that they made offered them Islam ... she is a fanatic Christian ... Mardic never entered Islam, and I did not agree to anyone who spoke to her about this topic. She is a fanatic Christian. And then the fanatical Christianity with a heart of parchment from two words that they said to her .. and entered Islam. Aren&#39;t you growing up? O Quraysh .. I have converted to fanatic Christianity ... Oh God .. I have worn the veil of black veils for all her body, so do you not grow up because this is the legal veil that God and the Messenger commanded ... the world is my daughter, full of evil people ready to devour your face. After that, I traveled to Russia ... and all of Russia ... all of them ... without exception, they wanted to see their face ... all the airport employees were to pay attention to see their face ... they exalted their work, their interests and their condition, and they waited for them to see their face ... and it is never ever permissible He says it: My daughter is normal. It is never ... impossible ... how? It comes a week, like this, and it cannot be waived ... and then in the other ... with the ability of a capable ... She goes once in the morning ... they call her name and say it, Take your passport, oh ... Glory be to God ... Suddenly, after that ... I doubt that they would add it to the passport, and the bureaucratic and routine complications and legacies ended ... the girl went to her family ... tortured and electrocuted her, and beat her nuts and put him in distant lands. I don&#39;t know how. But this happened ... and they said: You are a fanatic Christian. The girl Mardich bounce. She told them what happened. He said to her: I wish you were engaged in prostitution and did not enter Islam ... Christian fanatics. But it is normal and the world is good and life is good ... The important thing is after that ... Praise be to God, thanks to the girl sitting. Her sister spoke about Islam. The girl went to two words and said: God .. it is the right religion. She smuggled her sister after she worked with heavy and concentrated wine for her sisters ... and took from them the keys to the chains she tied to her. O Joe Bilal bin Rabah, and Umayya bin Khalaf da? . What we have ... after this, Dr. Al-Areifi extends many words and that people fight and strive for their religion, and we do not. I don’t know Min Jaya from Norway to help Min in Africa. She stayed victorious ... and one Jewish woman in Germany banged on one and seated through the peephole trying to guide him to Judaism and I don&#39;t know what. Note that the Jews are aware that they are the only ones who have the right to religion because they are God&#39;s chosen people. Myself, I know what obsession? You are the photographer of our Lord, as if it is the Sultan who surrounds his women with the greatest degree of privacy and the veil and does not allow anyone to smell until their smell ... You are why we feel that women are something that comes from Mars ..?. Why do we feel that our Lord has sent another holy book next to the Qur&#39;an urging women to chastity. What is the cheap atmosphere? Why do you always think that there is a war against your religion ... that you are always the best and the rest are a little backward. You live a happy life and others live a messy, flimsy life. People in Russia are all children of a dog and a gypsy .. But the people in the Gulf are correct and the liver is right. Oh hysteria of terror than the other de .. I am a Muslim .. I am better than you .. You are afraid of me .. You hate me .. You declare war on me. My friend, by God, no one is interested in you at all and does not care about you in any way. Why do you feel that Islam is in need of people entering it? Why do you feel inferior, as if you were saying: Islam is ours, you are the birth of a dog. You say to the people: My religion is the correct one, enter in it and God will burn you. Who is the one that people understand, that our Lord is concerned that someone enters into the Islamic religion or not? Why do I feel we are supposed to demonstrate the Islamic religion? We are wandering in order to attract the largest number of les, and entice them to say and invite? Why do you want the religious people to turn into sales representatives ... they would give each other a little bit and say: Enter the debt in our merchants, and give it away. Why are we supposed to stand up and say to them: Religion, this brings a number of features and fascination? The first need: that you would fear heaven if you believed in it ... and not just that, because you can also invite people to it ... no man? I am like astonished. If it was up to me ... you would be the first one and those like you to be charged with contempt of religions. .......... Sheikh Mansah says:. They only know of the rights of women except the right of displaying, removing the headscarf, the right to travel without a mahram, the right to drive a car, the right to work and to mix with men ... and they call these stupid rights. What do you think of women&#39;s rights? You remain the obedient master and she is happy to obey you de ... and she is a queen because she belongs to you ... the queen is the one who is waiting for her obedient master to make her legs collapse in water and salt ... she disappears from before all people except he ... is this kingdom for you? Oh God ... you are sure that our Lord created the harem for that? It means one that remains deprived of car exercise, travel with prohibited blood, from work, from choosing to demolish it by itself, and from contact with people. Is this still a queen? What if you were going to do what? Then what do you export ... that your anti-invisibility is that one goes to a dance? Its contents say: they want her to become a dancer, people enjoy seeing her body and her charms ... I mean, she has a woman, you either obedient to the husband, veiled in the house and wearing a black tent ... oh either you work as a dance or prostitute? What a stupid thought? ......................... The songs say Rakia Al-Zina ... Are you sure? So if we forbid adultery, would it mean meaning? I am sure that you are the one who lacks music. Aref you: If I heard only a cut off for Beethoven, not Bach, not even for Omar Khairat, no thunder behind, or for Omar Farouk ... By God, you will remain like the full ... fornication, but who is the pilgrim? You look like you by nightmares nightmares, so keep reading Al-Muathtaan and let the six mother boil you a little Tlio, or guava paper and you remain like the ful. With my great respect to you. And the life of your shredding is that we don’t offer long enough for you like a religious man
"
Positive,talk childhood formation simple deep discussion scientific led atheism say loss star,Negative,"A talk about the writer&#39;s childhood formation and a simple and deep discussion of the scientific reasons instead of the other reasons that led him to atheism .... The Egyptians say that a loss in you is the star I gave it hahahahahahaha
"
Positive,disappointing twilight room service time clean internet mean change better,Negative,"disappointing. . This is not a hotel but a twilight furnished because there is no room service for nights and no time to clean the rooms and the internet in the rooms is not working, I mean if they change from a hotel to better furnished apartments
"
Negative,stay cleanliness helpful staff reception internet fast far mosque,Negative,"Nice stay. Room cleanliness and helpful staff at reception. The internet is not fast and far from the mosque
"
Positive,sound daily night sound suction tank,Negative,"Weak. . Disturbing sound daily at night The sound of the suction tank
"
Negative,ceramic permanently,Negative,"// . The floors are crushed ceramic, there are cockroaches, there are no hotel services permanently in the rooms, the weakest.
"
Positive,refuse call work literary work express idea use literary language work purely commercial revive weakened novel think writer card evaluation suspense excitement first time read novel cut relationship writer forever,Negative,"First, I refuse to call this work a literary work, as it does not express an idea and did not use a literary language. The work is purely commercial. Secondly, linking what happens to revive the jinn and demons weakened the novel, but I think that the writer resorted to the card in the Egyptian. My evaluation of Najma was based on suspense and excitement .. Generally this is the first time I read to Ahmed Murad and this novel cut my relationship with him as a writer forever.
"
