Original Tag,Senti Score,Original Text
Negative,Negative,"نجمة ل اللغة العذبة ولأنه سجين سياسي ، لكن الحب في الرواية كان مبتذلا و مكررا كأن الكاتب يحاول ان يسد الفراغ في مخيلته بتفاصيل فجة يخدش رقي الحب. ،. ثلاث مرات خطر ببالي أن اختار كتابا آخر على ان اضيع وقتي بقراءة هذه، لكنني تحاملت لأجل ان ارى نهاية هذا الانحلال إلى اين يصير ؟
"
Negative,Negative,"إيجابيات و سلبيات كرت التقاط فيديو قنوات| وصلة أربعة مداخل من ايزي كاب
"
Negative,Positive,"يكفي انها كانت في بيت الله الحرام . لا ما اعجبني الافطار والاسره غير مريحه ونظافتها ليست حيده. الافطار والنظافه والتأخير والانترنت بفلوس
"
Negative,Negative,"أول رواية بعد وراية قصة تكملها أنت .. ل د/ أحمد خالد توفيق أحس إنى ضيعت فيها الوقت. رواية سيئة بكل ما تحمله الكلمة من معان. من مللها أخدت منى وقت كبير تخطى الشهرين ونص. غير مشوقة ... وتفقد الواقعية والمصداقية فى الأحداث ... لا تصنف كأدب رعب ... ولا تستحق أن تصنف من ضمن الأدب ... بدووووون هدف واضح. فعندما تبدأ القراءة تشعر أن الكاتب هاو. حتى الغلاف لهاو. حسيت إنه مش قادر يجمع الأحداث ولا يربطها ببعضها فبدأ بصنع شخصيات جديدة ملهاش أى لازمة. الكاتب فاقد للمعلومات وفاقد للإحساس فيها. ده غير إنها تفتقر إلى المبادئ والقيم. مش شرط العمل يكون فيه ألفاظ خارجة أو إيحاءات علشان يكون ردئ. ممكن كمان يكون فاقد للمبادئ والقيم والأخلاقيات وساعتها برضه هيكون ردئ. كملت الرواية وأنا بقول لنفسى دلوقتى هتلاقيه يلم الأحداث ... دلوقتى هيصلح خطأه ... لكن لم يحدث ما توقعت. توهة ... دم ... تباعد أحداث ... دم ... شخصيات ملهاش لازمة ... دم تانى ... بطل فاشل ... دم تانى ... حى النهاية كانت سيئة. لو كان الكاتب انهى الكتاب بالجملة الشهيرة إستيقظ بطلنا من نومه وهو مفزوع وحمد الله كثيرا على أن هذا كان كابوسا كان ممكن أبلع الرواية . لم أكتسب منها شئ ولا حتى المتعة. أتمنى يكون الكاتب عنده رسالة وهدف يقدمه فى كتاباته حتى لا يفقد قراءه حتى لو كان الهدف هو المتعة والتشويق. تقييمي ليها بداية من الغلاف للنهاية / وده تقديرا للكاتب مش أكتر. لو هقيمها بعيدا عن الكاتب فهى ماتستحقش ولا نجمة. . الرواية مقدمة لى كهدية فى يوم ميلادى . مش فاكرة بدأت قرائتها إمتى ولا فاكرة إنتهيت منها إمتى. بس فضلت إنى أكتب الريفيو بتاعها بعد ما انساها تماما علشان مايكونش كلامى حاد أو جارح للكاتب
"
Negative,Negative,"مملو والاحداث متوقعة والنهاية اوفر اوى كانى بشوف فيلم قديم
"
Negative,Positive,"الموقع ممتاز وباقي الخدمات مخيبة . الموقع جدا ممتاز وكذلك مواقف السيارات جيدة وهي برسوم يومي ريال. مستوى الخدمة ونظافة الأثاث ضعيف جدا
"
Negative,Positive,"ضعيف جدا. لاشيء اعجبني في الفندق. النظافة جدا سيئة
"
Negative,Negative,"ضعيف. مدخل وواجهة الفندق جيدة. النظافة سيئة ورائحة المجاري في كل مكان
"
Negative,Negative,"الكتاب طووييييل حوالي صفحة ... في البداية كنت مستمتعة جداااا بالقصة ... بس طويلة عالفاضي .. فيها تفاصيل كتيييرة ومملة ... في مواقف كتير كان فيها افورة في رد فعل الشخصيات ... بصراحة قريت صفحة بس وعديت الباقي عشان اشوف النهاية ... بعد كل ال صفحة دوول ونهاية عاااادية جدااا ومتوقعة ومستفزة بالنسبة ليا
"
Negative,Negative,"لاتسكن هذا الفندق . لم يعجبني شي غير موقع الفندق. صوت الشارع داخل الغرفه لايوجد عزل ابدافندق اقل من عادي وحرام يصنف كفندق بعض الشقق الفندقيه افضل منه بمراحل
"
Negative,Negative,"أنصح بعدم السكن فيه . الغرف نظيفة . موقعة سيء جدآ ولا يتوفر عندهم خدمات وبعيد جدآ عن الحرم أقل تاكسي ريال
"
Negative,Positive,"كتاب سطح متفز. يصلح للمراهقات
"
Negative,Negative,"من أسوأ الفنادق التي أقمت فيها . التكييف فقط والانترنت. موظفوا الاستقبال تعاملهم سيء جدا مدير الحجوزات هندي الجنسية عديم المصداقية حيث حصلت لي مشكله في الحجز وقمت بالاتصال بالبوكينق وكانت الاستجابة من السيده حميده في قمة الاحترافية وتواصلت مع الفندق
"
Negative,Negative,"الديون فيه اجزاء كتير ضعيفه من الناحية الفكريه اعتقد ان فلومستر ابيض افضل من و الحزن البعد العادي كمان كنت متوقع ان الديوان هيكون افضل بس للاسف
"
Negative,Positive,"عاديه جدا ..... و لا تستحق الكلام الكثير الذى يقال عنها. لم احبها
"
Negative,Negative,"يحمل في مجمله عدة نصائح مفيدة. إلا انه طرح الحلول بسطحية. لم يتعمق في مشاكل الزوجية و طريقة حلها
"
Negative,Negative,"حقوق وخدمات العميل . لاشئ. تحكم الفندق في القنوات التلفزيونه واختيارهم لها فقط وعند الطلب الرفض بذلك ، الفطور المجاني عباره عن جبنه طحينه وفول وعصير وشاي والقهوة بقيمة عشر ريالات للكاس الواحد فقط يوما دون تغيراول يوم فقط علبتين مويه مجانيه حجم صغير والايام التي تليها لايحضرونها الا عند الطلب ، مواقف السيارات غير منظمه ومعرضه للحوادث تنشيط كرت دخول الغرفه يوما من عند الاستقبال علما بانتي دفعت قيمة السكن كامل بمعدل ايام
"
Negative,Negative,"أعتقد ان اخر صفحتين ف الرواية مكانش ليهم لازمة. أو يمكن عشان أنا ما فهمتهمش. الرواية لن تفهمها إلا إذا أنهيت قراءتها. عجبتني الفكره. أعتقد ان بعض الاجزاء منها حسستني بالتخلف العقلي أثناء قراءتها .. الأسلوب ملتوي بطريقة تضايق. أولا وأخيرا .. أنا بأحب إحساس أحمد العايدي في الكتابة
"
Negative,Positive,"الكتاب ليس ممتاز بقدر ماهو مميز،، مميز بغلافه الأنيق، و بأسلوبه الجديد.. تشعر و انت تقرأ بأنك تشاهد افلام قصيرة تناسب السنوات الموضوعه قبلها، أثرت فيني بعض القصص كقصة ساره او سارا..لايهم. اتممته بعشرون دقيقه فقط، كتاب خفيف و لطيف بوجه عام.
"
Negative,Negative,"هذه هي قراءتي الأولى لربيع جابر و أخشى أن تكون الأخيرة . استغرقت في قراءتها ساعتين إلا ربع بحثت خلالها مع محمد عن أخيه المفقود ربيع متنقلا بين عدة مدن من الأندلس إلى الشام . برأيي أن الرواية ركيكه و ضعيفه منذ بدايتها إلى النهاية . اعاني من مشكلة كبيرة مع الكاتب الذي يعمل على تكرار أكثر من جملة أو كلمة في كتاباته
"
Negative,Negative,"ضعيف جدا. . المكان غير نظيف الحمام وسخ الصاله والمكان ضيق
"
Negative,Negative,"نالت الرواية شهرة أكثر من حجمها، وكذلك مؤلفها، وممنوعة من الأسواق السورية حسب ما تمت إفادته بغباء شديد، بلا أي داعي، ولا أنكر من أن الرواية جيدة وسوف تستمتع أثناء قرائتها، ولكنها موضوعة ضمن قالب جنسي فاضح خسيء ورخيص، أعتقد بان المؤلف حينما لايثق بكتابته فإنه يلجئ إلى هذا الأسلوب المرفوض أقصد المؤلف المسلم .. فكرة الرواية بإختصار: هي عرض لبيت من بيوت مدينة حلب السورية قبيل إندلاع المواجهات المسلحة بين الإخوان المسلمين والحكومة عام ،وأثناءه وبعده وهو عرض جيد لا يخلو من النقد ولا من اللغط ولعل لهذا موضوع آخر إنه يصور الكراهية بأسلوبه الخاص، وتتجلى عبقريته في أجزاء قوية جدا من الرواية حيث تشعر أنك وضعت الكراهية تحت المجهر، ويعيب الكراهية بل ومديحها بين الناس وبين الطوائف، مما ادى إلى الأحداث الأكثر دموية وبشاعة من كلا الطرفين.. من الجمل الرائعة التي استهوتني عندما يضحك شيخ جليل، من قلبه، أشعر كم أن الله جميل ويكره البؤس والشقاء .
"
Negative,Negative,"وانا بقرأ الرواية زى بالظبط وانا قاعدة مع اخواتى بتفرج على فيلم كرتون عرفت نهايته بس بكمل عشان مستمتعه بمشاهدته
"
Negative,Negative,"نسخة مصرية لرواية نادى القتال . بس ممكن اسامح ليه قدرته على تمصيرها على قد ما يقدر
"
Negative,Negative,"كيف رواية بهذا السوء تكون حائزة علي جائزة بوكر لأفضل رواية عربية للعام؟ شيء مقزز بصراحة
"
Negative,Positive,"لم اكملها لم اجد الحبكه الدراميه التى تشدنى ان اكملها و تشعرنى بالتشويق. ليست بدايات معرفتى بالكاتب و لن تكون النهايه
"
Negative,Positive,"صفحتان من التاريخ ثم ثلاث صفحات عن علاقات أبناء و بنات اليهود الغرامية ثم صفحة تاريخ أخري ثم خطب عصامية عن أهمية اقتران الحب بالرغبة و الشهوة.. إيه اللي أنا قريته دة ؟؟. و المأساة أن النسخة التي أملكها تحمل ختم الطبعة الرابعة ،،، واااااخيبتاه
"
Negative,Negative,"يخرب بيت الملل ...ايه ده. اسوء رواية لمشاعر غالية مع انى قريت تقريبا كل روايتها بس دى الاضعف على الاطلاق ...ليه كده...ايه كمية المواعظ والانحياز لنوع معين من البشر .. مافيش وسيطة فى الشخصيات طيب اووى شرير جداا. ممكن تنفع تبقى كتاب نصح دينى لا اكتر ..نصيحة ل دعاء يا ريت بقى حوار اللحية و النقاب ده يقل شوية من رواياتك وانى الشخص الملتزم هو السوبر الخارق اللى بيحل كل المشاكل. مع انى قابلت ناس كتيير ملتزمين بالشكل ده بس عاديين جدا ومش خارقيين زى ما انتى بتصوريهم ...ولازم فى كل رواية تقحميهم فيها. رواية واحدة بس اللى حسيتك مختلفة فيها هى ايماجو فيها نضج فكرى شوية
"
Negative,Positive,"كتاب ف التنمية البشرية اسلوبه بسيط. المقدمة هايلة .. لكني مش عارفة ليه باقي الكتاب للمرأة بالذات ؟
"
Negative,Negative,"اول واخر مره اسكن بهذا الفندق . . مستوى الخدمات سيئ مع عدم كفايه مواقف السيارات وضيقها دائما الطلب عن زياده المصاريف الرجاء اخذ الفواتير مباشره بعد الدفع ومستوى الاداره متدنيه
"
Negative,Positive,"رواية ضعيفة جدااااا واسلوب يحتاج للكثيير من التطوير
"
Negative,Negative,"المميز في الرواية أنها تتضمن معلومات عن الوضع الاجتماعي والتاريخي لتلك المنطقة... أما فيما عدا هذين الجانبين لم أشعر بأي دهشة أو تشويق أو اندماج في حبكة القصة.. وبعض الأحداث وجوانب الشخصيات غير مقنعة... وأعجبتني كاثرين..
"
Negative,Positive,"رواية جميلة جدا خلتنى الف حولين نفسى بس طلعت منها بان اى علاقة بين اتنين يجب ان يكللها الاحترام الاحتواء التضحية رواية تستحق القراءة
"
Negative,Negative,"أتمنى يتحسن . عادي جدا. الواي فاي مره زفت ومعفن ومافيه اي تعاون من الموظفين ولااي استجابه
"
Negative,Positive,"عصافير الحجارة. لم يعجبني سوى المقدمة وأولى القصائد. أطفال الحجارة. القصيدة الثانية والثالثة لم ترقى لرشاقة قلم الأولى وقوته ولا اصابتها للمعاني مباشرة. بهروا الدنيا. وما في يدهم إلا الحجارة. وأضاءوا كالقناديل. وجاءوا كالبشارة. قاوموا. وانفجروا. واستشهدوا. وبقينا دببا قطبية. صفحت أجسادها ضد الحرارة...
"
Negative,Negative,"ضعيف جدا. . الافطار جدا سيء
"
