Senti score,Original Tag,Original text,Senti words
Positive,Positive,"Great hotel and respectful of customers. Everything I liked about the hotel is the staff is very friendly, respectful and respectful of the guest. The mattress is very rough, the pillows didn&#39;t work for me, it might suit me
",respectful liked staff friendly respectful respectful guest mattress rough work suit
Positive,Positive,"Dubai&#39;s finest hotels. Everything I liked: The location of the hotel overlooks the sea and is wonderful..General services and room services are fast..Planning the hotel community more than beautiful..Respection personnel were a summit in magnificence, especially Professor Ahmed..Egyptian nationality .. I advise everyone to deal with them I spent the most beautiful days In this hotel as most of my photos in Dubai are pictures of antiques, swimming pools and restaurants of the hotel .... nothing
",finest liked location room community personnel summit magnificence nationality advise everyone deal beautiful swimming nothing
Positive,Positive,"A mixture of history, sociology and psychology with an ironic style and objective methodology
",mixture history sociology psychology ironic style objective methodology
Positive,Positive,"Excellent . Everything is perfect. The price is expensive two pills
",perfect price expensive two
Positive,Positive,"A really interesting book ... Ben Nabi, the teacher, accompanies you in the details of his life
",really interesting book teacher life
Positive,Positive,"I ruined this novel, oh God, hahahahahahahaha. Firstly, the novel is more than wonderful. Its idea is very strong and real. It will be a reason, so many people change, and I am the first of them. God willing, in your company in paradise ... but I wanted to say, I also need something, at the beginning, I wanted to complete the novel for the other because I liked it, but the way the story was narrated was not interesting enough enough, I was thinking of complementary because of this, but thank God I completed it for the end because its end is a masterpiece Hard and has a strong message, I may not be able to hold myself It is laughter about the unexpected end, but it is a real bigger greeting to you, you are a talented writer, and good luck, God willing, in the upcoming works.
",novel oh novel wonderful idea strong real reason many people change first willing company paradise wanted say need beginning wanted complete novel liked way story interesting enough enough thinking complementary thank completed masterpiece strong message able hold laughter unexpected real bigger greeting talented writer good luck willing upcoming
Positive,Positive,"Thanks to the staff and for the reception. The location and services of the smiling staff. There is no
",staff reception location staff
Positive,Positive,"good. . Wi-Fi is not free, while in less apartments it is free
",good free less free
Positive,Positive,"Exceptional. A new hotel and another new area in Dubai It seems that this hotel will be among the prestigious hotels in Dubai as it chooses the staff carefully.
",new new prestigious staff carefully
Positive,Positive,"The novel is excellent, and its style is completely new to it, from the most beautiful novels. Elly, her village after Azazel. A short sentence, but it is expressive and extremely beautiful. I still remember some of her sentences. Eazinb, and I keep writing to you, you start imposing your presence. On a faded entity, he continues to do me a drink, giving him a chance to show off. Love is the state of Alana&#39;s identification with the other. Yazinab never absent and present in the conscience. I am the one here I am not who I was. Sadness, human beings varied from resident and from transit. Optimism is a great risk for my likes. Her face took her astonishment. It is hard for one to live without losing his reasons for being alive. Unaware, I am the extent of irresponsibility, or foolish, the extent of stupidity
",novel excellent style completely new beautiful village short sentence expressive extremely beautiful still remember keep writing start imposing presence faded entity continues drink giving chance show state identification absent present conscience human varied resident transit great risk astonishment hard live without alive extent irresponsibility foolish extent stupidity
Positive,Positive,"A wonderful...
",wonderful
Positive,Positive,"With confidence, the best novel published in so far.
",confidence best novel far
Positive,Positive,"Wonderful. everything. Booked a smoker room and not available
",everything smoker room available
Positive,Positive,"Razavi Ashour completed the journey of creativity .. This is something that is full of words .. I loved very dearly and lived with her every moment. . There is only one mistake. At night, there is no description of Razavi originally. May God have mercy on you, Razavi
",completed journey creativity full loved every moment mistake night description mercy
Positive,Positive,"I have another experience. Excellent cleanliness. The services are far
",experience cleanliness far
Positive,Positive,"Excellent . everything. No free Wi-Fi in the rooms
",everything free
Positive,Positive,"My dream was that the worry would go away from me. At your door. It was my dream to see my grave. On your doorstep. I hinted as a technician and it was a wave. More merciful than your torment And I spared my homeland, a grave containing me in your soil. So I was confused with housing. And now hold back the shroud. What happened to you, my country? . I screamed and the words run from my mouth: these are countries ... they are not my country anymore
",dream worry go away dream see grave doorstep technician wave merciful torment homeland grave soil confused hold back country run mouth country anymore
Positive,Positive,"A beautiful book, I love the simplicity of Ahmed El-Aidy, who is strong and has more than one masterpiece poem, such as: Thanks God. Jerk off to innocent desire. To check me. Orphan Paragraph. Small cut. The last one loves you. Why do I like it so much? Of course it is not possible for this masterpiece. I don&#39;t know when I stayed like this. Not possible. He does not love girls. Other than those who love pain. My chest is open to air. But I ... locked. What are you doing doctor? In what blindness hope. Even what I understood via it. Complementary. A railway that can be reposted. Do not forget. I have to run the tears. With cheap laughter. And always shy ... I don&#39;t know when I stayed like this. Not possible. I missed you, I found myself pocketing your name and pressing.
",beautiful book love simplicity strong masterpiece poem innocent desire check cut last much course possible masterpiece know possible love love pain chest open air doctor blindness hope via railway forget run cheap laughter shy know possible missed
Positive,Positive,"Most people judge books based on the cover, which is common. As for others like me, I judge him from the beginning of his pages; the writing style is what makes me keep reading .. In this novel specifically, I read the first of its pages and felt like a continuation of another book, as the writer started to tell the story as if the reader knows what he is talking about .. I stopped reading I put the book aside, I was very surprised when I got this high evaluation? It is true that people&#39;s tastes differ, but everyone who asks and reads from him finds him praising him and saying, keep reading, it&#39;s wonderful. I didn&#39;t give them any attention, and I read several other books, but destiny wanted me to think about it, and I found a colleague of mine who encouraged me to read it with me .. I started and deepened, and I signed this book from those books that you find yourself thinking about and wondering about, I felt that I was actually with them , I felt the sadness that they feel, with joy, of resentment, and even of the taste of the pies they eat .. I lived with them their joy and their sorrow, and what more sadness. The novel begins with the grandfather and ends with the grandson of the granddaughter. You can imagine how many of the situations I lived with them ... I created Radwa Ashour in them, and I will definitely read everything I wrote, God willing.
",people judge cover common others judge beginning writing style keep reading novel specifically read first continuation book writer tell story reader talking reading put book aside surprised high evaluation true differ everyone praising keep reading wonderful give attention read several destiny wanted think colleague encouraged read book find thinking actually sadness feel joy resentment taste eat joy sorrow sadness novel grandfather grandson granddaughter imagine many definitely read everything willing
Positive,Positive,"We speak when the gates of peace are closed to us before our thoughts, and when we are unable to reach the state of stillness in the unity of our hearts, we turn to seize our lips, because the sound distracts us and entertains us, and in many of our words our thoughts almost explode from pain and gloom, because thought is a bird from space birds, which can simplify His wings are in the cage of words, but he cannot fly.
",speak peace unable reach state stillness unity turn seize sound many explode pain gloom thought bird space simplify cage fly
Positive,Positive,"Wonderful. The location is excellent, and the breakfast buffet is great. The internet was weak
",location excellent breakfast buffet great internet weak
Positive,Positive,"New frontiers of historical information river
",historical information river
Positive,Positive,"A beautiful novel, much more beautiful than the series ... The beginnings of Ahmed Murad
",beautiful novel much beautiful series
Positive,Positive,"The comment of my older brother, Dr. Mohamed Ibrahim, on the book. : //. . / / .... A very important book, and I recommend reading it strongly. Especially for those who count themselves among the youth of the Islamic trend.
",comment older brother book important book recommend reading strongly count youth trend
Positive,Positive,"W Barcelona offers residential services I stayed at the W Barcelona from day to day, in a great room. I arrived early and registered my name at the hotel. The registration process is always busy, and there is a big and happy surprise but with mixed feelings. Sometimes your early arrival leads you to a room that no one else wants. My share of room number, was on the fifth floor. The beach was opposite my room, but a third of the view was obstructing me due to the other prominent rooms at the front. This only affects the first floors, so be careful, as each room ends with a number that has the same problem. These rooms are also adjacent to the storage and laundry rooms, among others. I loved the design of the room, the shared desk with the bed is very soft, what a really good bed spoil me, as well as the spacious space. The shower space can accommodate five people, not joking, so let’s consider, for example, that you took your boyfriend to have sex for the first time. You will inevitably discover the peculiarities of their bathroom laughing out loud. I did not consume anything from the room fridge, as there is a big store and restaurants at the beginning of the beach, and this is a pleasant walk away. Prices for the pool area and services are very moderate. On Sunday, on the top floor, you do not stop by the pool, the staff working in this area did not check the area even once, so I did not receive any services. Another day, I learned that the top floor was open, and I went up. I learned that it was closed when I asked for a service. Then I learned that it is not closed, but there is no service. I was just meters away from the main bar. The position of the workers in this area is as if they say, I know, man, that we are very calm. We do a favor for you here. However, I left the area and did not return to it for the duration of my stay. Hint I use the signs; I can&#39;t read minds, but if the staff is so lazy that they can&#39;t do the services upstairs, there&#39;s something wrong. At the nightclub, I was disappointed again because of the lack of communication, and the lack of signs or information about the region&#39;s protocols. I saw every two sitting on your sofas, so I had to leave completely. If there were signs, there would be no embarrassment for the people. After eleven o&#39;clock in the evening this region becomes private and the cost of staying in euros is where the excellent service provided by the workers once the place is opened. It seems that those who provide alcoholic beverages are good, but when they are busy like this then there will be speed, yet my drink was moderate. Wave Restaurant I had a very good meal, and a great attentive service made me happy. Managers always work hard, but sometimes regret can be an easy backup. Guest services What about the low seating for guests? Sitting in this drop feels as if the seat is the one sitting on you, the opposite must be done, according to the known power arrangement. And we ended up changing rooms, on the number floor, room number, which is the same type of room as it overlooks a port, after I mentioned that the wonderful rooms are supposed to have nothing to obscure seeing from them. Note that the warm rooms are located on floors from to; these rooms seem to be great except for rooms from to; all overlook the ocean and the harbor. As for all the large rooms and others overlooking the beach and the city. Location I did not find the location far from the old neighborhoods, so you can walk on foot, or take the bus number / which stops on the main road near the hotel entrance, and the price of the bus ticket. Euros, and the taxi may cost you approximately Euros. Overall, I would probably come here again, as the location fits in with me, as is the layout of the room, the bathroom was excellent and the two rooms were reasonably quiet. It was a shame there was the low pool service as well as what is known as nerve cooling. As the title shows, this place caters to a specific demographic as it focuses on it well, but I am not a fashion fan, but all I want is comfort and kindness. It is a service.
",day day great room early registration process busy big happy surprise mixed early arrival room else share room number fifth floor beach opposite room third view due prominent front first careful room number problem adjacent storage laundry others loved design room desk bed soft really good bed spoil well spacious space shower space accommodate five people consider example boyfriend sex first time inevitably discover bathroom loud consume room fridge big store beginning beach pleasant walk away pool moderate top floor stop pool staff check receive day learned top floor open learned service learned service away main bar position say know calm favor left return duration stay use read staff lazy wrong nightclub disappointed lack communication lack information saw every two leave completely embarrassment people eleven region private cost excellent service place provide alcoholic good busy speed drink moderate good meal great attentive service happy work hard regret easy backup low drop seat opposite according power arrangement ended changing number floor room number type room port wonderful nothing obscure seeing warm great except overlook ocean harbor large others beach city find location far old walk foot bus number main road near entrance price bus ticket taxi cost approximately probably location room bathroom excellent two reasonably quiet shame low pool service well nerve cooling title place specific demographic well fashion fan comfort kindness service
Positive,Positive,"Weird this creative ability that transports you between the lives of five people in a period of one year in several times the country goes through on page
",creative ability five people period year several country page
Positive,Positive,"Ahmed Abdul Majeed. For the second time, it brings psychological peace to his followers
",second time psychological peace
Positive,Positive,"An important book I recommend reading it. But I think the name does not apply to the topic .... The book in general analyzes the Islamic-Islamic dispute from the point of view of sociology ... It is a new reading ... I very much enjoyed it ... His analysis of the temptation during the era of Uthman ... and Ali’s disorder and Muawiyah and the dispute Shi’ite Sunni, to say the least, is wonderful. His analysis of the revolutions and how success is the grave of the revolution .. And that a small organized group can defeat a large, dispersed group ..... And I conclude with a quote from the book ... The truth without strength supports it, there is no good in it
",important book recommend reading think apply book general dispute point view sociology new reading much analysis temptation disorder dispute say least wonderful analysis success grave revolution small organized group defeat large group conclude quote book truth without strength good
Positive,Positive,"Excellent. The location is very excellent, the price is reasonable and it has breakfast and internet. The internet is bad
",location excellent price reasonable breakfast internet internet bad
Positive,Positive,"My heart hurts ..... This novel exhausted me. Feeling of complete helplessness, I felt after a word in its last pages. How do I describe all this painful sadness .. How do I revive my words after she died with her people one by one. If death is the title of the novel..the language has a life..the language is rich and rich and empowered..what attracts you to its world, praising in its vastness, enjoying it with the limit of joy and the limit of love and pain. Ayman Al-Atoum .. my full respect and appreciation..and you are creative
",heart novel exhausted complete helplessness word last describe painful sadness revive people death title language lifethe language rich rich world praising limit joy limit love pain full respect creative
Positive,Positive,"The hotel deserves ... Roqan .... Location ... good handling ... cleanliness ... close to Mall of the Emirates ...
",good cleanliness close
Positive,Positive,"A simple and brief explanation of many religions. My favorite writer, Anis Mansour .... and I will sail in the world of Anis ..
",simple brief explanation many favorite writer sail world
Positive,Positive,"I was one of the lucky ones to see a draft of that novel. So my testimony will be hurt. Regardless of my witness to the labor period, the author is one of the closest to my heart on a personal level. So I will try to summarize. Adoration is the next novel for a peace hymn. If you like the hymn, you will love. Abdul Majeed has developed a lot of his style of narration and has started to move from event to smooth event. In a passion he entered into the convolutions of the soul more, so he made clear the difference between the human qualities that make man from a person who does not rise to the quality of angels and does not descend from the characteristics of demons. In love you will understand more about the Igo .. The Igo that prevents us from rising and without Ego will give us wings to fly in the sky. He also dealt with traffickers, the greatest of souls and most of them. I liked his new narration. Connecting the past to the present. Ahmed has been united by his hero, so he writes this time with his spirit. I will not speak more and I will let you read it voraciously. Buy it, it deserves
",lucky see draft novel testimony hurt witness labor period author closest heart personal level try summarize next novel peace hymn hymn love developed lot style narration move event smooth event passion soul clear difference human make person rise quality descend love understand rising without give fly sky greatest liked new narration past present hero time spirit speak let read
Negative,Positive,"I know for sure that I have never treated a human being as petty or despicable, except that this is a punishment for him on bad manners. The telly of the Akkad character.
",know sure treated human petty despicable except punishment bad character
Positive,Positive,"Simply .. Diwan is the most beautiful Ami Diwan I have read in my life. From the first gift to the last poem .. I have no need but I like it. The Valley is an artifact written, philosopher, and actually worn:
",beautiful read life first gift last poem need artifact philosopher actually
Positive,Positive,"A wonderful report explaining the extent of the military penetration and their influence on the rule in Egypt. His conclusion is remarkable that the second republic will not be established until after the state of officers is completely disintegrated from the Egyptian state. I wish it was a berth reading:
",wonderful report extent military penetration influence rule conclusion remarkable second republic state completely state wish berth reading
Positive,Positive,"Worth a visit. The availability of beds, cleanliness, and a complete and sufficient kitchen in the lobby. Spacious rooms, lounge, washbasin, stove, microwave and fridge. The mother of a room and a hall itself has two rooms and a hall, but the room will share a sitting session and in the back four beds and one bathroom, may God honor you.
",visit availability cleanliness complete sufficient kitchen lobby lounge washbasin stove fridge mother room hall two hall room share session back bathroom honor
Positive,Positive,"Some people may think that it is easy to add a new part to a series of novels that have its world, characters and events .... But to find this addition with such perfection and interdependence, you are facing a phenomenon that must stop before it ... Hussam Nader .. This name that you must Everyone remembers it well, after a few years it will be of great importance in the world of fantasy ... good luck
",people think easy add new part series world find addition perfection interdependence phenomenon stop well great importance world fantasy good luck
Positive,Positive,"Excellent taste and excellent price in Mecca and Medina. Everything is beautiful and affordable and they do not eat. Everything is available. The bake is one of the most famous restaurants in the city. Eating is distinctive taste and excellent price and the meal is very saturated and the service is fast despite the great crowds.
",taste excellent price beautiful affordable eat available bake famous city distinctive taste excellent price meal service fast despite great
Positive,Positive,"Exceptional. The place is suitable.
",place suitable
Positive,Positive,"The important thing is that words start, to live in people&#39;s minds and conscience. He was not able to tyrant over the eras of history to imprison words because they, like spirits, roam the horizons ... Do not be deleted, tortured, or buried in the dust .. Her life is eternal:. It remains a spin and a role .... Blessed are the strangers ... Blessed are the martyrs ... May God have mercy on you, successor to him, Messenger of God, may God bless him and grant him peace
",important start live conscience able tyrant history imprison spirits roam tortured dust life eternal remains spin role mercy successor bless grant peace
Positive,Positive,"Excellent hotel and perfect place to stay. Quiet location cleanliness. Delay bringing the car when exiting
",perfect place stay location cleanliness car
Positive,Positive,"Excellent location the Moroccan receptionist was nice to us. Cleanliness and location.
",location receptionist nice location
Positive,Positive,"Location, comfort and close to everything. I recommend living in it. everything is OK
",comfort close everything recommend living everything
Positive,Positive,"The writer has a literary style and great depictions that are beyond description of her beauty .. If you search for the beauty of the rhetorical and literary style, you will find a lot .. But the content of most stories did not interest me because most of them are repetitive, but the writer&#39;s thinking is very sophisticated and sublime .. In general the writer is a method that makes the heart fail for its beauty. The stories ..
",writer literary style great beyond description beauty search beauty rhetorical literary style find lot content interest repetitive thinking sophisticated sublime general writer method heart fail beauty
Positive,Positive,"nice place . Comfort and world-class hotel. There are no channels
",nice place
Positive,Positive,"The style is great, the end is no better than that. You feel that the book guides you in the direction of yourself, to the extent that you feel in every situation that you put yourself in the place of heroes and start a dialogue with yourself, what will be the reaction. With the beauty of the politics and political positions in the novel in a way that does not affect the documents, it is worthy of
",style great better feel book direction extent feel every situation put place start dialogue reaction beauty politics political novel way affect worthy
Positive,Positive,"The first novel that I read while I was about twelve years old ... If I could imitate this writing with decoration or something more valuable, I would have done .... a novel that I would not put aside before I would have cried with the heroes and raised your laughter with them ... and depressed their affliction ... and I was happy with them ... you only wish me the heroes ...
",first novel read twelve old imitate writing decoration valuable novel put aside laughter depressed affliction happy wish
Positive,Positive,"Rest and rest. Everything was at the desired level. Everyone is better
",rest desired level better
Positive,Positive,"Wonderful. I liked in the hotel the screen of the reception staff and their keenness on the comfort of the guest, especially mentioning the alternate director Mohammed Al-Wasli, who made a great effort in providing the appropriate room, which guarantees us a comfortable stay. I did not like having to change the room more than once due to lack of hygiene and other reasons, but the responsible employee made a thankful effort to solve this problem
",liked screen reception staff keenness comfort guest alternate director great effort appropriate room comfortable stay change room due lack hygiene responsible employee thankful effort solve problem
Positive,Positive,"I enjoyed it very much, and I liked the need to draw the people and the flow of the unfamiliar story, and if some parts of it were prolonged and others were repeated
",much liked need draw people flow unfamiliar story others repeated
Positive,Positive,"A hearty meal of feelings ... a wonderful and very deep novel ... and the musical analogues are beyond description
",hearty meal wonderful deep novel musical beyond description
Negative,Positive,"Excellent. . The internet is very slow
",internet slow
Positive,Positive,"Beautiful . By God, it is one of the best motels I have ever stayed in Dubai. There is no
",best
Positive,Positive,"Written by French writer Bernardine Saint-Pierre. And translated by Mustafa Lutfi Al-Manfalouti. Al-Manfalouti added, with his pen, a stream of creative descriptions and linguistic wealth ... a beautiful novel from the classics of literature.
",writer pen stream creative linguistic wealth beautiful novel literature
Positive,Positive,"Wonderful of the most wonderful novels I have read ... masterpiece
",wonderful read masterpiece
Positive,Positive,"I really liked the novel, with deep talk and hours of sweet talk, but in general the idea of the book is sweet with a touch of terror.
",really liked novel deep talk hours sweet talk general idea book sweet touch terror
Positive,Positive,"Excellent among the hotels I recently stayed in. It is from the Hilton family and among the hotels that respect the permanent members of the Hilton. This hotel overlooks the Nile Corniche and its location is excellent. I need a system and cleanliness, and those working with it meet you with welcome, affection, and a healthier love for those who have not visited this hotel to visit immediately and do not regret
",recently family respect permanent location excellent need system cleanliness meet welcome affection healthier love visit immediately regret
Negative,Positive,"When you finish reading this book, you know that those around you are not stupid:
",finish reading book know around stupid
Positive,Positive,"Ahmed Murad loves the imagination of detective stories, a novel with a near-realistic nature, and the narration of content is great. Many of the events narrated by the narrator are wonderful, reflecting societal, authoritarian, and sometimes sexual futility in his thinking, which is based on reality ... I recommend the novel.
",imagination detective novel nature narration content great narrator wonderful reflecting societal authoritarian sexual futility thinking reality recommend novel
Positive,Positive,"Good one. The place is very good, close to Mall of the Emirates, restaurants and metro, and the cleanliness is excellent. They take a deposit of one dirham and return them when leaving the hotel
",place good close metro cleanliness excellent deposit return
Positive,Positive,"Certainly a useful book although I am not enthusiastic about describing the actions of the Prophet as being caused by genius but rather something greater than this, it is the revelation of God and his success, by placing the word genius that is put upon him peace and blessings with the rest of the geniuses and thinkers ... With that book is fun and useful
",useful book enthusiastic describing genius greater revelation success word genius put upon peace rest book fun useful
Positive,Positive,"One of the most interesting novels that I liked, attracted, and thought called for reflection. Although most of its events are expected, but the end is strange. Words that do not fit in a book and an intellectual novel are not sexual and market suggestions that will convey the reality in its entirety with my respect to the writer:
",interesting liked thought reflection strange fit book intellectual novel sexual market convey reality entirety respect writer
Positive,Positive,"good. Comfort and cleanliness. nothing
",good cleanliness nothing
Positive,Positive,"We had a lot of fun I visited in a month / and I will visit again this month / It is a first-class family place I do not advise young people to visit where calm and tranquility The rooms are wonderful and clean The pool is small but tasty and you play with your children As for food, the dinner meal is excellent and breakfast is also friendly The hospitality team has met My request for a cot without any additional cost. As for the faults, it is the beach. There is no living room for the residents, in addition to the chalets and rooms that are located in a high place that may be a little tired for the elderly.
",lot fun month visit month family place advise young people visit calm tranquility wonderful clean pool small tasty play children food dinner meal excellent breakfast friendly hospitality team request cot without additional cost beach living room addition high place little tired elderly
Positive,Positive,"Beautiful and comfortable hotel. The location, services and staff are trying to listen to you and help you. Nothing short
",comfortable location staff trying listen help short
Positive,Positive,"good. Breakfast was heil.
",good
Positive,Positive,"Very cheap suitable for the modest secret and for the big family. The price is attractive. Its location is far from the center of Dubai and Jumeirah and in the area of Indian workers
",cheap suitable modest secret big family price attractive location far center
Positive,Positive,"South Ambassador. Great hotel, I would advise them to be comfortable, relaxed and beautifully treated.
",advise comfortable beautifully treated
Positive,Positive,"I read it fun .. I didn&#39;t want to get rid
",read fun get rid
Negative,Positive,"I did not know that weddings are safe, weddings are safe, and who is safe in Palestine? Their weddings are far, far away ... I read it during the Gaza war, I felt that I was in the streets, and had it not been for the truce there yesterday, I would have cried on paper.
",know safe safe safe far far away read truce yesterday paper
Positive,Positive,"Excellent. The ruins of Khalifa Tower. You enter the hotel an hour and sit down looking at the lobby, the text of the hour, which led to the exit rooms
",enter hour looking lobby text hour led exit
Positive,Positive,"A race for good and evil, and as usual, good triumphs, but evil does not end. This end is preferable. The narration was one of the best things I read to the extent that I was crying for what happened to her and Emad and sadness of Walid .. Friends are more than a need for her love in all narrations .. waiting for the new from Essam Youssef and remaining in same level
",race good evil usual good evil preferable narration best read extent sadness need love new level
Positive,Positive,"Wonderful book, I like the writer and his adherence to his views.
",book writer adherence
Positive,Positive,"Very beautiful . Tranquility and decoration and workers in order to magnificence. There is no
",beautiful decoration order magnificence
Positive,Positive,"the movie
",movie
Positive,Positive,"The best relaxation and the best organization. A very beautiful hotel worth visiting and also an excellent location near the train station and all restaurants are available.
",best relaxation best organization beautiful worth excellent location near train station available
Positive,Positive,"The Rubaiyat of Khayyam is a philosophical poem with distinction in which faith is mixed with skepticism, pessimism with optimism, confusion with certainty, existence with nothing. Omar Khayyam invites them to enjoy life with all its pleasures, and what wine he praises in this work is only a symbol of this material life. Khayyam believes that our earthly life is much better than our eschatological life, adopting the nihilistic view of life, this life that has no meaning in all its tragedies and the misery of people in it and also what our emergency presence is in .. In this poem also there is an internal struggle between the life of the faithful tents who He wants to repent of his sins and the age of Khayyam, who doubts and revolts on religious concepts of fate, resurrection, and lastlife .. Indeed, there is still discussion about the ratio of these Khumaiyat quarters to Omar Khayyam, who was known for his morals and knowledge, but this does not prevent classification These quartets as a philosophical work explores the depths of the human psyche in their crises of existence Of this world Alamvhom and ruthless.
",philosophical poem distinction faith mixed skepticism pessimism optimism confusion certainty existence nothing enjoy life wine work symbol material life earthly life much better eschatological life nihilistic view life life meaning misery people emergency presence poem internal struggle life faithful repent age religious fate resurrection still discussion ratio knowledge prevent classification philosophical work human psyche existence world ruthless
