Original Text,Original Tag,Senti Score
"فندق دبليو برشلونة نقدم خدمات سكانية لقد مكثت في فندق دبليو برشلونة من يوم وحتى يوم ، في غرفة رائعة. وصلت مبكرا وسجلت اسمي في الفندق دائما عملية التسجيل مشغولة ، وهناك مفاجأة كبيرة وسعيدة ولكن مع مشاعر مختلطة. فأحيانا يقودك وصولك المبكر إلى غرفة لا يريدها غيرك. كان من نصيبي الغرفة رقم ، الطابق الخامس من طابقا. كان الشاطئ مقابل غرفتي ولكن كان هناك عائق يحجب عني ثلث الرؤية بسبب الغرف الأخرى البارزة في المقدمة. وذلك فقط لا يؤثر إلا في أول طوابق؛ لذا انتبه، فكل غرفة تنتهي برقم بها نفس المشكلة. وهذه الغرف أيضا مجاورة لغرف التخزين والمغسلة وغيرها. أحببت تصميم الغرفة، والمكتب المشترك مع السرير ناعم للغاية، ياله من سرير جيد حقا مغنما لي، وكذلك المساحة الواسعة. يتسع مكان الاستحمام لخمسة أشخاص، لا أمزح، فلنعتبر مثلا أنك اصطحبت رفيقتك لممارسة الجنس أول مرة، حتما ستكتشف خصوصيات الحمام لديهم يضحك بصوت مرتفع . لم أستهلك أي شيء من ثلاجة الغرفة، فهناك متجر كبير ومطاعم عند أول الشاطئ، ويبعد ذلك قدر تجول دقائق ممتعة. والأسعار بمنطقة حمام السباحة والخدمات معتدلة للغاية. ففي يوم الأحد في الطابق العلوي لا تقف عنده بجوار حمام السباحة لم يقم الموظفون العاملون بهذه المنطقة بفحص المنطقة ولو مرة واحدة، لذا لم أتلق أية خدمات. وفي يوم آخر علمت أن الطابق العلوي مفتوح، فصعدت، فعلمت أنه مغلق عندما طلبت خدمة ما، ثم علمت أنه ليس مغلقا ولكن ليس هناك خدمة حينئذ كنت على بعد أمتار من البار الرئيسي . فموقف العاملين بهذه المنطقة كأنهم يقولون اعلم أيها الرجل أننا هادئون للغاية؛ إننا نسدي لك معروفا بوجودنا هاهنا . على أية حال، تركت المنطقة ولم أعد إليها طوال فترة إقامتي. تلميح استخدم الإشارات؛ لا أستطيع قراءة العقول، ولكن إذا كان الموظفون بهذا الكسل الذي يصل إلى حد أنهم لا يمكنهم إسداء الخدمات في الطابق العلوي، فإن هناك خطأ ما. وفي ملهى الليلي تم خذلاني مرة ثانية بسبب قلة التواصل، وعدم وجود إشارات أو معلومات بشأن بروتوكولات المنطقة. ورأيت كل اثنين يجلسان على أرائك، فكان يجب علي أن أغادر تماما؛ فلو كانت هناك إشارات لما كان هناك إحراج للناس. وبعد الحادية عشرة مساءا تصبح هذه المنطقة خاصة وتكلفة المكوث بها يورو، حيث الخدمة الممتازة التي يقدمها العاملون بمجرد فتح المكان. فعلى ما يبدو أن من يقدمون المشروبات الكحولية جيدون ولكن عندما يكونون مشغولون بهذا الشكل فتكون هناك سرعة، ومع ذلك كان شرابي معتدلا. مطعم ويف لقد تناولت وجبة جيدة جدا، بالإضافة إلى خدمة يقظة رائعة أسعدتني. يبذل مديرو الدوام جهدهم ولكن قد يكون الأسف أحيانا أمر احتياطي سهل. خدمات الضيوف ماذا عن المقاعد المنخفضة للضيوف؟ إن الجلوس في هذا الانخفاض تشعر وكأن المقعد هو من يجلس عليك، فلا بد من العكس، حسب ترتيب القوة المعروف. وانتهينا بتغيير الغرف، في الطابق رقم ، غرفة رقم ، وهو نفس نوع الغرفة حيث تطل على ميناء، وذلك بعد أن ذكرت أن الغرف الرائعة من المفترض ألا يكون هناك شيء يحجب الرؤية منها. لاحظ أن الغرف الدافئة تقع في الطوابق من إلى ؛ فيبدو أن هذه الغرف رائعة ما عدا الغرف من إلى ؛ فتطل جميعها على المحيط والميناء. أما كافة الغرف الكبيرة وغيرها فتطل على الشاطئ والمدينة. الموقع لم أجد الموقع بعيدا من الأحياء القديمة، فيمكنك السير على الأقدام، أو أن تستقل الحافلة رقم / والتي تقف على الطريق الرئيسي بالقرب من مدخل الفندق، وسعر تذكرة الحافلة . يورو، أما التاكسي فقد يكلفك تقريبا يورو. وعموما، من المحتمل أن آتي إلى هنا ثانية، فالموقع يتلاءم معي، وكذلك تصميم الغرفة، أما الحمام فكان ممتازا والغرفتان كانتا هادئتان بشكل معقول. وكان مما يخجل هناك خدمة حمام السباحة المتدنية وكذلك ما يعرف ب برود الأعصاب . فكما يوضح العنوان، فإن هذا المكان يخدم مجموعة سكانية محددة حيث يركز عليها بشكل جيد، ولكنني لست من أهل الموضة، بل كل ما أريده هو الراحة واللطف؛ فذلك بمثابة خدمة.
",Positive,Positive
"كتاب مهم انصح بقراءته. بس اظن ان الاسم غير منطبق مع الموضوع .... الكتاب في المجمل يحلل الخلاف الاسلامي الاسلامي من وجهة نظر علم الاجتماع .. وهي قراءه جديده ... استمتعت جدا بيها .... تحليله للفتنه في عهد عثمان .. وخلاف علي ومعاويه والخلاف السني الشيعي اقل ما يقال انه رائع. تحليله للثورات وكيف ان النجاح هو قبر الثوره .. وان جماعه قليه منظمه تستطيع ان تهزم جماعه كبيره مبعثره ..... واختم باقتباس من الكتاب ... الحق من غير قوة تسنده لا خير فيه
",Positive,Positive
"ممتاز. الموقع ممتاز جدا و السعر مناسب وفيه افطار و انترنت. الانترنت سيء
",Positive,Positive
"قلبي يؤلمني.....انهكتني هذه الرواية. شعور بعجز تام انتابني بعد كلمة تمت في آخر صفحاتها. كيف اصف كل هذا الكم من الحزن الموجع..كيف احيي كلماتي بعدما ماتت مع شخوصها واحدا تلو الآخر. اذا كان الموت عنوانا للرواية..فاللغة بها حياة..لغة عذبة ثرية متمكنة..تجذبك الى عالمها سابحا في رحابها مستمتعا بها حد الفرح وحد الحب والألم. ايمن العتوم..كامل احترامي وتقديري..دمت مبدعا
",Positive,Positive
"يستاهل الفندق .. روقاان ... . الموقع ..حسن التعامل ..النظافه ..قربه من مول الامارات ...
",Positive,Negative
"شرح مبسط ومختصر للكثير من الديانات. الكاتب المفضل لدي أنيس منصور .... و سأبحر في عالم أنيس ..
",Positive,Positive
"كنت من المحظوظين الذين اطلعوا على مسودة تلك الرواية. لذا ستكون شهادتي مجروحة فبغض النظر من كوني شاهدا على فترة المخاض فالمؤلف من أقرب المقربين إلى قلبي على المستوى الشخصي. لذا سأحاول أن أختصر. عشق هي الرواية التالية لترنيمة سلام. إن أحببت الترنيمة فستهيم ب عشق . عبد المجيد قد طور من أسلوبه كثيرا في السرد وبدأ يتنقل من حدث لحدث بانسيابية. في عشق دخل في تلافيف النفس أكثر فأوضح التباين بين الصفات البشرية التي تصنع من الانسان انسانا لا يرقى لصفة الملائكة ولا ينحدر إلى صفات الشياطين. في عشق ستفهم أكثر عن الايجو .. الايجو الذي يمنعنا من الارتقاء وبلا إيجو ستنبت لنا أجنحة لنحلق في السماء. هو أيضا تناول المتاجرين برقي النفوس وما أكثرهم. أعجبتني طريقة السرد الجديدة التي انتهجها. ربط الماضي بالحاضر. أحمد قد توحد ببطله فصار يكتب هذه المرة بروحه. لن أتكلم أكثر وسأدعكم تقرءونها بنهم. اقتنوها فهي تستحق
",Positive,Positive
"أعلم علم اليقين أنني لم أعامل إنسانا قط معاملة صغير أو حقير، إلا أن يكون ذلك جزاء له على سوء أدب. إختصار لشخصية العقاد.
",Positive,Negative
"ببساطة ..الديوان ده هو أجمل ديوان عامي قرأته فى حياتى. من أول الاهداء لحد أخر قصيدة ..مفيش حاجة الا و عجبتنى. الواد ده صنايعي كتابة و فيلسوف و ملبوس فعلا :
",Positive,Negative
"تقرير رائع يوضح مدى تغلغل العسكر وتأثيرهم على الحكم فى مصر. وخاتمته رائعه بأنه لن تقوم الجمهوريه الثانيه الا بعد ان تفكك دولة الضباط بالكامل من الدولة المصري. ياريت كان مرسى قراه : :
",Positive,Negative
"يستاهل زيارة . توافر الاسرة ونظافتها ومطبخ متكامل وكافي في اللوبي غرف واسعة وصالة ومغسلة وموقد وميكرويف وثلاجة. ام غرفة وصالة نفسها غرفتين وصالة بس قاسم الصالة جلسة كنب وفي الخلف اربع اسرة وحمام واحد الله يكرمكم.
",Positive,Positive
"قد يظن البعض إنه من السهولة ان تضيف جزء جديد لسلسلة روايات لها عالمها و شخصياتها و احداثها .... لكن ان تجد هذه الإضافة بمثل هذا الإتقان والترابط فأنت أمام ظاهرة يجب أن تتوقف أمامها ... حسام نادر .. هذا الاسم الذي يجب على الجميع تذكره جيدا فبعد سنوات قليلة سيكون ذو شأن عظيم في عالم الفانتازيا ... بالتوفيق
",Positive,Positive
"طعم مميز وسعر ممتاز في مكه والمدينه المنوره كل شئ جميل وميسر وماتشيلش هم الاكل كل شئ متوفر والبيك من اشهر المطاعم في المدينه الاكل طعمه مميز وسعره ممتاز والوجبه مشبعه جدا والخدمه سريعه برغم الزحام الشديد اللهم ارزقنا حج بيتك الحرام وحبيبك المصطفي عام بعد عام
",Positive,Positive
"استثنائي. المكان مناسب .
",Positive,Positive
"المهم ان تنطلق الكلمات ، ان تعيش ف فكر الناس ووجدانهم ،. فلم يستطيع طاغيه ع حقب التاريخ أن يسجن الكلمات لانها كالارواح تجوب الافاق ...لا تنذف او تعذب أو تدفن ف التراب ..حياتها أبديه : . تظل تدور ودور .... طوبي للغرباء ...طوبي للشهداء .... رحمك الله ياخليفه رسول الله صل الله عليه وسلم
",Positive,Positive
"فندق ممتاز ومكان مثالى للإقامة . الهدوء الموقع النظافة. تاخير احضار السيارة عند الخروج
",Positive,Positive
"موقع ممتاز موظفة الاستقبال المغربية كانت لطيفة معنا . النظافة والموقع.
",Positive,Positive
"موقع وراحة وقريب من كل شيء . انصح بالسكن فيه. كل شي تمام
",Positive,Positive
"للكاتب أسلوب أدبي وتصويرات رائعة تفوق الوصف لجمالها .. إن كنت تبحث عن جمال الأسلوب البلاغي والأدبي فستجد الكثير .. لكن محتوى معظم القصص لم يستهويني لأن أغلبها مكررة لكن تفكير الكاتب راقي وسامي جدا.. بالعموم للكاتب أسلوب يجعل القلب يخفق لجماله فعوض هذا عن رتابة القصص..
",Positive,Negative
"موقع جميل . راحة و فندق من طراز عالمي. لا يوجد قنوات
",Positive,Positive
"الاسلوب رائع النهاية مفيش احلى من كده تحس ان الكتاب بيشدك في اتجاه نفسك لدرجة انك تحس في كل موقف انك بتحط نفسك مكان الابطال وبتبدي في حوار مع نفسك ما ذا سيكون رد فعل . مع جمال اقحام السياسه والمواقف السياسيه في الروايه بشكل لايوثر على الثياق امر جدير ب
",Positive,Positive
"أول رواية أقرئها وانا بعمر الثانية عشر تقريبا ... لو استطعت أن أقلد هذه الكتابة وساما أو ما هو أكثر قيمة لفعلت .... رواية لا تضعها جانبا قبل انا تكون بكيت مع الأبطال وعلت قهقهاتك معهم ..واكتئبت لمصابهم ..وطرت فرحا معهم ... فى انت لى فقط أشتاق للأبطال ...
",Positive,Positive
"رائع. أعجبني في الفندق بشاشة موظفي الاستقبال وحرصهم على راحة النزيل وأخص بالذكر المدير المناوب محمد الواصلي الذي بذل جهدا كبيرا في توفير الغرفه المناسبة والتي تضمن لنا أقامه مريحه. لم يعجبني اضطراري لتغيير الغرفه اكثر من مره بسبب قلة النظافة وأسباب اخرى ولكن الموظف المسؤول قام بجهد مشكور لحل تلك المشكلة
",Positive,Positive
"استمتعت بيها جدا و اكتر حاجة عجبتني رسم الشخوص وانسيابية الحكي الغير ممل و ان طالت منه بعض الاجزاء و تم تكرار البعض الاخر
",Positive,Positive
"ممتاز. . الانترنت جدا بطئ
",Positive,Negative
"جميلة . والله انه من افضل اوتيلات رحت لها بدبي. لا يوجد
",Positive,Negative
"رائعة من اروع الروايات التي قراتها ...تحفة
",Positive,Positive
"فعلا عجبتني الرواية، فيها كلام عميق وساعات كلام عبيط بس عموما فكرة الكتاب حلوة بلمسة رعب.
",Positive,Positive
"ممتاز من الفنادق التي اقمت فيها مؤخراوهو من عائله الهيلتون ومن الفنادق التي تحترم الاعضاء الدائمين للهيلتون وهذا الفندق يطل علي كورنيش النيل وموقعه ممتاز والفندق روعه من حيث الكان والاقامه به والغرف الكبيرة اما الادوار التنفذيه فهي في غايه الجمال وايضا استراحه رجال الاعمال صاله بها كل الي انت محتاجه من نظام ونظافه والعاملين به يقابلونك بترحاب وموده وحب اصح لمن لم يزور هذا الفندق يزورة فورا ولا يندم
",Positive,Positive
"عندما تنتهي من قراءة هذا الكتاب، تعرف أن من حولك ليسوا أغبياء :
",Positive,Negative
"لذيذ ومسلي
",Positive,Negative
"احمد مراد يهوى خيال الروايات البوليسية، رواية بطابع شبه واقعي، و السرد للمحتوى رائع. كثر الاحداث التي يسردها الراوي رائعة تنم عن العبث المجتمعي و السلطوي و احيانا الجنسي في تفكيره المستمد من الواقع... انصح بالرواية.
",Positive,Negative
"جيدة . المكان جيد جدا قريب من الامارات مول ومن المطاعم والمترو النظافة ممتازة. ياخذوا مبلغ تامين بقيمة درهم ويرجعوهن عند الخروج من الفندق
",Positive,Positive
"بالتأكيد كتاب مفيد مع أني غير متحمس لوصف أفعال النبي بأنها ناتجة عن عبقرية بل هي شيء أكبر من هذا ،هو وحي الله وتوفيقه ، بوضع كلمة عبقرية يتم وضعه عليه الصلاة والسلام مع باقي العباقرة والمفكرين ...مع ذلك الكتاب ممتع ومفيد
",Positive,Positive
"من أكتر الروايات اللى عجبتنى و شدتنى و فكرها يستدعى التأمل. مع إن أغلب أحداثها متوقعة لكن النهاية غريبة. ألفاظ لا تصلح تكون فى كتاب و رواية فكرية مش الإيحاءات الجنسية و السوقية هى اللى هتنقل الواقع بحذافيره مع إحترامى للكاتب :
",Positive,Positive
"جيد. الراحه والنظافه. لا شئ
",Positive,Positive
"استمتعنا كثيرا قمت بزيارتة فى شهر / وسأعيد زيارتة هذا الشهر / هو مكان عائلى من الدرجة الاولى لا انصح الشباب بزيارتة حيث الهدوء والسكينة الغرف رائعة ونظيفة حمام السباحة صغير لكن لذيذ وانت بتلعب مع اولادك اما بخصوص الطعام فوجبة العشاء ممتازة والافطار ايضا طاقم الضيافة ودود وقام بتلبية طلبى بسرير اطفال دون تكلفة اضافية اما العيوب فهى الشاطئ لايوجد علية انيميشن للمقبمين بالاضافة الى ان الشاليهات والغرف نوجودة فى مكان عالى قد تكون متعبة قليلا لكبار السن .
",Positive,Positive
"فندق جميل ومريح . الموقع و الخدمات والموظفون يحاولون الاستماع لك ومساعدتك. لاشي يذكر
",Positive,Positive
"جيد. الافطار كان هايل.
",Positive,Positive
"رخيص جدا مناسب ل سر المحتشمة وللعائلة الكبيرة . السعر مغري. موقعه بعيد عن وسط دبي والجميرا وفي منطقة عمال هنود
",Positive,Positive
"سفير الجنوب . فندق رائع أنصح بهموقع وراحه وتعامل في منتهى الجمال / .
",Positive,Positive
"قرأتها متعة .. مكنتش عاوزها تخلص
",Positive,Negative
"لم أكن أعلم أن أعراس آمنة، أعراس آمنة؛ ومن للأمان في فلسطين؟ أعراسهم بعيدة، بعيدة جدا ... قرأتها أثناء حرب غزة ، شعرت أنني طيف في شوارعها ولولا أن الهدنة هناك قامت أمس، لبكيت على الورق.
",Positive,Negative
"ممتاز. أطلاله ع برج خليفه. دخول الفندق ساعه وتقعد تنظر في لوبي نص ساعه لين أفضى الغرف وخروج
",Positive,Negative
"سباق للخير والشر وكالعاده الخير ينتصر بس الشر مبيبقلش النهايه دى ويفضل يكمل ..الروايه كانت من افضل ما قرات لدرجة ان كنت ببكى ع اللى حصل لمها وعماد ولحزن وليد ..الاصحاب اكتر حاجه بحبها ف كل الروايات ..منتظرين الجديد من عصام يوسف ويبقى ف نفس المستوى
",Positive,Positive
"رائع الكتاب ويعجبني الكاتب وتمسكه بارائه.
",Positive,Positive
"جميل جدا . الهدوء والديكور والعاملين فيه بغايه الروعه. لا يوجد
",Positive,Positive
"احلى استرخاء و افضل تنظيم . فندق جميل جدا يستحق الزياره و ايضا موقع ممتاز قريب محطة القطار و تتوفر جميع المطاعم.
",Positive,Positive
